city,geo_code,age,total_num,num_men,num_women,total_percent,percent_men,percent_women,total_pop
"Abbotsford - Mission",932,"55 to 59 years",12500,6255,6245,6.4,6.4,6.4,195730
"Abbotsford - Mission",932,"Median age of the population",40,38,40,39.6,38.4,40.4,195730
"Abbotsford - Mission",932,"Average age of the population",41,40,42,40.5,39.5,41.5,195730
"Abbotsford - Mission",932,"100 years and over",50,10,40,0,0,0,195730
"Abbotsford - Mission",932,"95 to 99 years",360,95,270,0.2,0.1,0.3,195730
"Abbotsford - Mission",932,"90 to 94 years",1380,485,895,0.7,0.5,0.9,195730
"Abbotsford - Mission",932,"85 to 89 years",2565,1095,1470,1.3,1.1,1.5,195730
"Abbotsford - Mission",932,"85 years and over",4360,1680,2680,2.2,1.7,2.7,195730
"Abbotsford - Mission",932,"80 to 84 years",4305,1910,2400,2.2,2,2.4,195730
"Abbotsford - Mission",932,"75 to 79 years",6180,2950,3230,3.2,3,3.3,195730
"Abbotsford - Mission",932,"70 to 74 years",9160,4245,4915,4.7,4.4,5,195730
"Abbotsford - Mission",932,"65 to 69 years",10750,5080,5670,5.5,5.2,5.8,195730
"Abbotsford - Mission",932,"65 years and over",34760,15870,18895,17.8,16.3,19.2,195730
"Abbotsford - Mission",932,"60 to 64 years",12245,5950,6295,6.3,6.1,6.4,195730
"Abbotsford - Mission",932,"50 to 54 years",11960,5980,5980,6.1,6.1,6.1,195730
"Abbotsford - Mission",932,"45 to 49 years",12085,6015,6070,6.2,6.2,6.2,195730
"Abbotsford - Mission",932,"40 to 44 years",12885,6425,6465,6.6,6.6,6.6,195730
"Abbotsford - Mission",932,"35 to 39 years",14175,7070,7105,7.2,7.3,7.2,195730
"Abbotsford - Mission",932,"30 to 34 years",13690,6980,6715,7,7.2,6.8,195730
"Abbotsford - Mission",932,"25 to 29 years",12680,6440,6245,6.5,6.6,6.4,195730
"Abbotsford - Mission",932,"20 to 24 years",12395,6470,5930,6.3,6.6,6,195730
"Abbotsford - Mission",932,"15 to 19 years",11785,6170,5615,6,6.3,5.7,195730
"Abbotsford - Mission",932,"15 to 64 years",126410,63750,62655,64.6,65.4,63.8,195730
"Abbotsford - Mission",932,"10 to 14 years",12225,6365,5860,6.2,6.5,6,195730
"Abbotsford - Mission",932,"5 to 9 years",11910,6140,5775,6.1,6.3,5.9,195730
"Abbotsford - Mission",932,"0 to 4 years",10425,5360,5065,5.3,5.5,5.2,195730
"Abbotsford - Mission",932,"0 to 14 years",34560,17860,16695,17.7,18.3,17,195730
Alma,410,"65 to 69 years",2405,1195,1210,7.9,8,7.9,30330
Alma,410,"70 to 74 years",1790,865,930,5.9,5.8,6.1,30330
Alma,410,"75 to 79 years",1440,630,810,4.7,4.2,5.3,30330
Alma,410,"80 to 84 years",960,380,575,3.2,2.5,3.7,30330
Alma,410,"85 years and over",975,335,640,3.2,2.2,4.2,30330
Alma,410,"85 to 89 years",565,215,350,1.9,1.4,2.3,30330
Alma,410,"90 to 94 years",330,100,235,1.1,0.7,1.5,30330
Alma,410,"95 to 99 years",60,20,40,0.2,0.1,0.3,30330
Alma,410,"100 years and over",20,0,15,0.1,0,0.1,30330
Alma,410,"Average age of the population",46,44,47,45.6,44.4,46.7,30330
Alma,410,"Median age of the population",48,46,50,48,46.4,49.6,30330
Alma,410,"65 years and over",7570,3410,4160,25,22.8,27.1,30330
Alma,410,"0 to 14 years",4645,2370,2270,15.3,15.8,14.8,30330
Alma,410,"0 to 4 years",1330,670,660,4.4,4.5,4.3,30330
Alma,410,"5 to 9 years",1540,810,735,5.1,5.4,4.8,30330
Alma,410,"10 to 14 years",1775,895,885,5.9,6,5.8,30330
Alma,410,"15 to 64 years",18115,9180,8940,59.7,61.4,58.2,30330
Alma,410,"15 to 19 years",1585,785,795,5.2,5.2,5.2,30330
Alma,410,"20 to 24 years",1390,730,660,4.6,4.9,4.3,30330
Alma,410,"25 to 29 years",1445,750,700,4.8,5,4.6,30330
Alma,410,"30 to 34 years",1510,760,750,5,5.1,4.9,30330
Alma,410,"35 to 39 years",1700,865,835,5.6,5.8,5.4,30330
Alma,410,"40 to 44 years",1910,970,935,6.3,6.5,6.1,30330
Alma,410,"45 to 49 years",1620,830,790,5.3,5.5,5.1,30330
Alma,410,"50 to 54 years",1610,830,775,5.3,5.5,5,30330
Alma,410,"55 to 59 years",2480,1230,1250,8.2,8.2,8.1,30330
Alma,410,"60 to 64 years",2870,1425,1445,9.5,9.5,9.4,30330
Amos,481,"100 years and over",0,0,0,0,0,0,18880
Amos,481,"50 to 54 years",1070,555,515,5.7,5.8,5.5,18880
Amos,481,"55 to 59 years",1410,695,715,7.5,7.3,7.6,18880
Amos,481,"60 to 64 years",1515,765,750,8,8,8,18880
Amos,481,"65 years and over",3835,1835,1995,20.3,19.3,21.3,18880
Amos,481,"65 to 69 years",1315,680,635,7,7.2,6.8,18880
Amos,481,"70 to 74 years",1060,510,550,5.6,5.4,5.9,18880
Amos,481,"75 to 79 years",705,340,370,3.7,3.6,3.9,18880
Amos,481,"80 to 84 years",420,175,240,2.2,1.8,2.6,18880
Amos,481,"85 years and over",335,130,200,1.8,1.4,2.1,18880
Amos,481,"85 to 89 years",225,95,130,1.2,1,1.4,18880
Amos,481,"90 to 94 years",80,30,55,0.4,0.3,0.6,18880
Amos,481,"95 to 99 years",20,5,20,0.1,0.1,0.2,18880
Amos,481,"40 to 44 years",1255,630,620,6.6,6.6,6.6,18880
Amos,481,"Average age of the population",42,42,43,42.3,41.8,42.8,18880
Amos,481,"Median age of the population",43,42,44,42.8,42.4,43.6,18880
