region,age,total_num,num_men,num_women,total_percent,percent_men,percent_women
Canada,"0 to 14 years",6012795,3086510,2926285,16.3,16.9,15.6
Canada,"0 to 4 years",1831195,938790,892405,5,5.2,4.8
Canada,"5 to 9 years",2054900,1054240,1000655,5.6,5.8,5.3
Canada,"10 to 14 years",2126705,1093480,1033225,5.7,6,5.5
Canada,"15 to 64 years",23957760,11915050,12042710,64.8,65.4,64.2
Canada,"15 to 19 years",2012975,1036730,976240,5.4,5.7,5.2
Canada,"20 to 24 years",2202255,1138825,1063430,6,6.2,5.7
Canada,"25 to 29 years",2421510,1228135,1193370,6.5,6.7,6.4
Canada,"30 to 34 years",2518835,1252795,1266040,6.8,6.9,6.7
Canada,"35 to 39 years",2511345,1238515,1272835,6.8,6.8,6.8
Canada,"40 to 44 years",2399405,1175875,1223530,6.5,6.5,6.5
Canada,"45 to 49 years",2304170,1129185,1174985,6.2,6.2,6.3
Canada,"50 to 54 years",2368350,1161665,1206685,6.4,6.4,6.4
Canada,"55 to 59 years",2647330,1299975,1347350,7.2,7.1,7.2
Canada,"60 to 64 years",2571580,1253335,1318245,7,6.9,7
Canada,"65 years and over",7021430,3224680,3796750,19,17.7,20.2
Canada,"65 to 69 years",2210970,1065305,1145665,6,5.8,6.1
Canada,"70 to 74 years",1847585,879850,967735,5,4.8,5.2
Canada,"75 to 79 years",1260930,589090,671845,3.4,3.2,3.6
Canada,"80 to 84 years",840545,370905,469645,2.3,2,2.5
Canada,"85 years and over",861395,319540,541860,2.3,1.8,2.9
Canada,"85 to 89 years",525445,212735,312705,1.4,1.2,1.7
Canada,"90 to 94 years",258035,87300,170735,0.7,0.5,0.9
Canada,"95 to 99 years",68380,17670,50715,0.2,0.1,0.3
Canada,"100 years and over",9535,1830,7710,0,0,0
Canada,"Average age of the population",42,41,43,41.9,41,42.8
Canada,"Median age of the population",42,40,43,41.6,40.4,42.8
"Newfoundland and Labrador","0 to 14 years",68190,35050,33140,13.4,14,12.7
"Newfoundland and Labrador","0 to 4 years",18985,9760,9225,3.7,3.9,3.5
"Newfoundland and Labrador","5 to 9 years",23030,11750,11280,4.5,4.7,4.3
"Newfoundland and Labrador","10 to 14 years",26175,13535,12640,5.1,5.4,4.9
"Newfoundland and Labrador","15 to 64 years",321750,158345,163405,63,63.3,62.7
"Newfoundland and Labrador","15 to 19 years",25720,13275,12445,5,5.3,4.8
"Newfoundland and Labrador","20 to 24 years",26075,13555,12515,5.1,5.4,4.8
"Newfoundland and Labrador","25 to 29 years",25045,12610,12440,4.9,5,4.8
"Newfoundland and Labrador","30 to 34 years",27525,13520,14005,5.4,5.4,5.4
"Newfoundland and Labrador","35 to 39 years",29445,14205,15240,5.8,5.7,5.9
"Newfoundland and Labrador","40 to 44 years",30890,14775,16115,6.1,5.9,6.2
"Newfoundland and Labrador","45 to 49 years",33995,16485,17510,6.7,6.6,6.7
"Newfoundland and Labrador","50 to 54 years",38375,18685,19685,7.5,7.5,7.6
"Newfoundland and Labrador","55 to 59 years",42150,20530,21615,8.3,8.2,8.3
"Newfoundland and Labrador","60 to 64 years",42520,20695,21830,8.3,8.3,8.4
"Newfoundland and Labrador","65 years and over",120610,56680,63930,23.6,22.7,24.5
"Newfoundland and Labrador","65 to 69 years",40450,19715,20735,7.9,7.9,8
"Newfoundland and Labrador","70 to 74 years",34405,16600,17805,6.7,6.6,6.8
"Newfoundland and Labrador","75 to 79 years",22365,10585,11780,4.4,4.2,4.5
"Newfoundland and Labrador","80 to 84 years",13240,5960,7280,2.6,2.4,2.8
"Newfoundland and Labrador","85 years and over",10155,3820,6335,2,1.5,2.4
"Newfoundland and Labrador","85 to 89 years",6745,2835,3910,1.3,1.1,1.5
"Newfoundland and Labrador","90 to 94 years",2710,835,1880,0.5,0.3,0.7
"Newfoundland and Labrador","95 to 99 years",620,135,485,0.1,0.1,0.2
"Newfoundland and Labrador","100 years and over",80,15,65,0,0,0
"Newfoundland and Labrador","Average age of the population",46,45,46,45.5,44.7,46.3
"Newfoundland and Labrador","Median age of the population",48,48,49,48.4,47.6,49.2
"Prince Edward Island","0 to 14 years",23640,12120,11520,15.3,16.1,14.6
"Prince Edward Island","0 to 4 years",6750,3475,3280,4.4,4.6,4.2
"Prince Edward Island","5 to 9 years",8085,4190,3900,5.2,5.6,4.9
"Prince Edward Island","10 to 14 years",8800,4455,4345,5.7,5.9,5.5
