region,country_of_origin,total_num,num_men,num_women,total_percent,percent_men,percent_women
Canada,"  Americas",1203180,546325,656855,14.4,13.7,15
Canada,"    Brazil",48450,22405,26050,0.6,0.6,0.6
Canada,"    Colombia",80570,36675,43900,1,0.9,1
Canada,"    El Salvador",49450,24430,25015,0.6,0.6,0.6
Canada,"    Guyana",85530,37870,47660,1,1,1.1
Canada,"    Haiti",99945,44585,55360,1.2,1.1,1.3
Canada,"    Jamaica",145360,63430,81925,1.7,1.6,1.9
Canada,"    Mexico",90585,42215,48370,1.1,1.1,1.1
Canada,"    Peru",31420,13925,17490,0.4,0.4,0.4
Canada,"    Trinidad and Tobago",65035,29110,35930,0.8,0.7,0.8
Canada,"    United States of America",256090,115380,140705,3.1,2.9,3.2
Canada,"    Other places of birth in Americas",250760,116305,134460,3,2.9,3.1
Canada,"  Europe",1967620,955840,1011785,23.5,24,23.1
Canada,"    Bosnia and Herzegovina",35925,17705,18220,0.4,0.4,0.4
Canada,"    Croatia",36675,18115,18560,0.4,0.5,0.4
Canada,"    France",121525,63845,57685,1.5,1.6,1.3
Canada,"    Germany",126470,60560,65915,1.5,1.5,1.5
Canada,"    Greece",54715,27050,27665,0.7,0.7,0.6
Canada,"    Hungary",31050,14595,16450,0.4,0.4,0.4
Canada,"    Italy",204065,101445,102625,2.4,2.6,2.3
Canada,"    Netherlands",75830,39020,36810,0.9,1,0.8
Canada,"    Poland",135030,60660,74370,1.6,1.5,1.7
Canada,"    Portugal",128795,62880,65910,1.5,1.6,1.5
Canada,"    Romania",86770,40820,45955,1,1,1
Canada,"    Russian Federation",81840,35185,46650,1,0.9,1.1
Canada,"    Serbia",31925,15480,16450,0.4,0.4,0.4
Canada,"    Ukraine",81135,36840,44295,1,0.9,1
Canada,"    United Kingdom",464135,229710,234430,5.6,5.8,5.3
Canada,"    Other places of birth in Europe",271725,131935,139790,3.2,3.3,3.2
Canada,"  Africa",821735,412365,409375,9.8,10.4,9.3
Canada,"    Algeria",79660,41065,38600,1,1,0.9
Canada,"    Congo, Democratic Republic of the",33110,15775,17340,0.4,0.4,0.4
Canada,"    Egypt",73710,38730,34980,0.9,1,0.8
Canada,"    Eritrea",31385,16575,14815,0.4,0.4,0.3
Canada,"    Ethiopia",41715,19955,21760,0.5,0.5,0.5
Canada,"    Morocco",81775,41085,40685,1,1,0.9
Canada,"    Nigeria",81290,41665,39620,1,1,0.9
Canada,"    Somalia",32500,14600,17900,0.4,0.4,0.4
Canada,"    South Africa, Republic of",51590,25740,25855,0.6,0.6,0.6
Canada,"    Other places of birth in Africa",314995,157170,157825,3.8,4,3.6
Canada,"  Asia",4307000,2030575,2276420,51.5,51.1,51.9
Canada,"    Afghanistan",62450,30940,31515,0.7,0.8,0.7
Canada,"    Iran",182940,92300,90645,2.2,2.3,2.1
Canada,"    Iraq",84130,42660,41465,1,1.1,0.9
Canada,"    Lebanon",95725,50675,45055,1.1,1.3,1
Canada,"    Syria",97590,49855,47735,1.2,1.3,1.1
Canada,"    Turkey",35270,18835,16435,0.4,0.5,0.4
Canada,"    China",715835,317970,397860,8.6,8,9.1
Canada,"    Hong Kong",213855,100480,113375,2.6,2.5,2.6
Canada,"    Korea, South",138355,63025,75325,1.7,1.6,1.7
Canada,"    Taiwan",65365,28725,36635,0.8,0.7,0.8
Canada,"    Philippines",719580,305115,414460,8.6,7.7,9.5
Canada,"    Viet Nam",182095,82670,99425,2.2,2.1,2.3
Canada,"    Bangladesh",70090,35675,34415,0.8,0.9,0.8
Canada,"    India",898050,451120,446930,10.7,11.3,10.2
Canada,"    Pakistan",234105,118390,115715,2.8,3,2.6
Canada,"    Sri Lanka",136240,66215,70030,1.6,1.7,1.6
Canada,"    Other places of birth in Asia",375340,175930,199410,4.5,4.4,4.5
Canada,"  Oceania and other places of birth",61965,31055,30910,0.7,0.8,0.7
Canada,"Total - Place of birth for the recent immigrant population in private households - 25% sample data",1328240,644900,683340,100,100,100
Canada,"  Americas",154490,74275,80215,11.6,11.5,11.7
