ref_date,region,annual_percent_increase
"1952-07-01 00:00:00",Alberta,3.61
"1952-10-01 00:00:00",Alberta,3.68
"1953-01-01 00:00:00",Alberta,3.65
"1953-04-01 00:00:00",Alberta,3.83
"1953-07-01 00:00:00",Alberta,3.99
"1953-10-01 00:00:00",Alberta,4.47
"1954-01-01 00:00:00",Alberta,4.53
"1954-04-01 00:00:00",Alberta,4.49
"1954-07-01 00:00:00",Alberta,4.43
"1954-10-01 00:00:00",Alberta,3.98
"1955-01-01 00:00:00",Alberta,3.75
"1955-04-01 00:00:00",Alberta,3.53
"1955-07-01 00:00:00",Alberta,3.11
"1955-10-01 00:00:00",Alberta,2.99
"1956-01-01 00:00:00",Alberta,2.88
"1956-04-01 00:00:00",Alberta,3.14
"1956-07-01 00:00:00",Alberta,2.93
"1956-10-01 00:00:00",Alberta,3.09
"1957-01-01 00:00:00",Alberta,3.16
"1957-04-01 00:00:00",Alberta,3.13
"1957-07-01 00:00:00",Alberta,3.82
"1957-10-01 00:00:00",Alberta,3.79
"1958-01-01 00:00:00",Alberta,4.11
"1958-04-01 00:00:00",Alberta,3.90
"1958-07-01 00:00:00",Alberta,3.59
"1958-10-01 00:00:00",Alberta,3.56
"1959-01-01 00:00:00",Alberta,3.53
"1959-04-01 00:00:00",Alberta,3.59
"1959-07-01 00:00:00",Alberta,3.39
"1959-10-01 00:00:00",Alberta,3.44
"1960-01-01 00:00:00",Alberta,3.33
"1960-04-01 00:00:00",Alberta,3.30
"1960-07-01 00:00:00",Alberta,3.51
"1960-10-01 00:00:00",Alberta,3.48
"1961-01-01 00:00:00",Alberta,3.38
"1961-04-01 00:00:00",Alberta,3.35
"1961-07-01 00:00:00",Alberta,3.01
"1961-10-01 00:00:00",Alberta,2.91
"1962-01-01 00:00:00",Alberta,2.96
"1962-04-01 00:00:00",Alberta,2.87
"1962-07-01 00:00:00",Alberta,2.85
"1962-10-01 00:00:00",Alberta,2.75
"1963-01-01 00:00:00",Alberta,2.58
"1963-04-01 00:00:00",Alberta,2.57
"1963-07-01 00:00:00",Alberta,2.48
"1963-10-01 00:00:00",Alberta,2.32
"1964-01-01 00:00:00",Alberta,2.01
"1964-04-01 00:00:00",Alberta,1.93
"1964-07-01 00:00:00",Alberta,1.71
"1964-10-01 00:00:00",Alberta,1.56
"1965-01-01 00:00:00",Alberta,1.69
"1965-04-01 00:00:00",Alberta,1.40
"1965-07-01 00:00:00",Alberta,1.40
"1965-10-01 00:00:00",Alberta,1.18
"1966-01-01 00:00:00",Alberta,0.90
"1966-04-01 00:00:00",Alberta,0.97
"1966-07-01 00:00:00",Alberta,0.96
"1966-10-01 00:00:00",Alberta,1.17
"1967-01-01 00:00:00",Alberta,1.37
"1967-04-01 00:00:00",Alberta,1.64
"1967-07-01 00:00:00",Alberta,1.91
"1967-10-01 00:00:00",Alberta,2.11
"1968-01-01 00:00:00",Alberta,2.30
"1968-04-01 00:00:00",Alberta,2.36
"1968-07-01 00:00:00",Alberta,2.28
"1968-10-01 00:00:00",Alberta,2.33
"1969-01-01 00:00:00",Alberta,2.38
"1969-04-01 00:00:00",Alberta,2.31
"1969-07-01 00:00:00",Alberta,2.29
"1969-10-01 00:00:00",Alberta,2.28
"1970-01-01 00:00:00",Alberta,2.13
"1970-04-01 00:00:00",Alberta,2.32
"1970-07-01 00:00:00",Alberta,2.24
"1970-10-01 00:00:00",Alberta,2.29
"1971-01-01 00:00:00",Alberta,2.34
"1971-04-01 00:00:00",Alberta,2.14
"1971-07-01 00:00:00",Alberta,4.30
"1971-10-01 00:00:00",Alberta,4.27
"1972-01-01 00:00:00",Alberta,3.96
"1972-04-01 00:00:00",Alberta,3.93
"1972-07-01 00:00:00",Alberta,1.70
"1972-10-01 00:00:00",Alberta,1.78
"1973-01-01 00:00:00",Alberta,1.84
"1973-04-01 00:00:00",Alberta,1.85
"1973-07-01 00:00:00",Alberta,1.84
"1973-10-01 00:00:00",Alberta,1.75
"1974-01-01 00:00:00",Alberta,1.70
"1974-04-01 00:00:00",Alberta,1.69
"1974-07-01 00:00:00",Alberta,1.70
"1974-10-01 00:00:00",Alberta,1.99
"1975-01-01 00:00:00",Alberta,2.45
"1975-04-01 00:00:00",Alberta,2.75
"1975-07-01 00:00:00",Alberta,3.08
"1975-10-01 00:00:00",Alberta,3.12
"1976-01-01 00:00:00",Alberta,3.18
"1976-04-01 00:00:00",Alberta,3.21
"1976-07-01 00:00:00",Alberta,3.35
"1976-10-01 00:00:00",Alberta,3.91
"1977-01-01 00:00:00",Alberta,4.10
"1977-04-01 00:00:00",Alberta,4.24
"1977-07-01 00:00:00",Alberta,4.22
"1977-10-01 00:00:00",Alberta,4.13
"1978-01-01 00:00:00",Alberta,4.02
"1978-04-01 00:00:00",Alberta,3.91
"1978-07-01 00:00:00",Alberta,3.80
"1978-10-01 00:00:00",Alberta,3.71
"1979-01-01 00:00:00",Alberta,3.68
"1979-04-01 00:00:00",Alberta,3.64
"1979-07-01 00:00:00",Alberta,3.70
"1979-10-01 00:00:00",Alberta,3.94
"1980-01-01 00:00:00",Alberta,4.13
"1980-04-01 00:00:00",Alberta,4.28
"1980-07-01 00:00:00",Alberta,4.49
"1980-10-01 00:00:00",Alberta,4.63
"1981-01-01 00:00:00",Alberta,4.65
"1981-04-01 00:00:00",Alberta,4.67
"1981-07-01 00:00:00",Alberta,4.57
"1981-10-01 00:00:00",Alberta,4.16
"1982-01-01 00:00:00",Alberta,3.89
"1982-04-01 00:00:00",Alberta,3.60
"1982-07-01 00:00:00",Alberta,3.44
"1982-10-01 00:00:00",Alberta,2.53
"1983-01-01 00:00:00",Alberta,1.96
"1983-04-01 00:00:00",Alberta,1.53
"1983-07-01 00:00:00",Alberta,1.00
"1983-10-01 00:00:00",Alberta,0.67
"1984-01-01 00:00:00",Alberta,0.48
"1984-04-01 00:00:00",Alberta,0.36
"1984-07-01 00:00:00",Alberta,0.01
"1984-10-01 00:00:00",Alberta,-0.14
"1985-01-01 00:00:00",Alberta,0.04
"1985-04-01 00:00:00",Alberta,0.20
"1985-07-01 00:00:00",Alberta,0.44
"1985-10-01 00:00:00",Alberta,0.67
"1986-01-01 00:00:00",Alberta,0.83
"1986-04-01 00:00:00",Alberta,0.98
"1986-07-01 00:00:00",Alberta,1.18
"1986-10-01 00:00:00",Alberta,0.95
"1987-01-01 00:00:00",Alberta,0.72
"1987-04-01 00:00:00",Alberta,0.58
"1987-07-01 00:00:00",Alberta,0.33
"1987-10-01 00:00:00",Alberta,0.31
"1988-01-01 00:00:00",Alberta,0.43
"1988-04-01 00:00:00",Alberta,0.47
"1988-07-01 00:00:00",Alberta,0.64
"1988-10-01 00:00:00",Alberta,1.14
"1989-01-01 00:00:00",Alberta,1.40
"1989-04-01 00:00:00",Alberta,1.57
"1989-07-01 00:00:00",Alberta,1.70
"1989-10-01 00:00:00",Alberta,1.70
"1990-01-01 00:00:00",Alberta,1.72
"1990-04-01 00:00:00",Alberta,1.75
"1990-07-01 00:00:00",Alberta,1.98
"1990-10-01 00:00:00",Alberta,2.23
"1991-01-01 00:00:00",Alberta,2.10
"1991-04-01 00:00:00",Alberta,1.90
"1991-07-01 00:00:00",Alberta,1.75
"1991-10-01 00:00:00",Alberta,1.60
"1992-01-01 00:00:00",Alberta,1.51
"1992-04-01 00:00:00",Alberta,1.56
"1992-07-01 00:00:00",Alberta,1.56
"1992-10-01 00:00:00",Alberta,1.51
"1993-01-01 00:00:00",Alberta,1.50
"1993-04-01 00:00:00",Alberta,1.43
"1993-07-01 00:00:00",Alberta,1.32
"1993-10-01 00:00:00",Alberta,1.33
"1994-01-01 00:00:00",Alberta,1.22
"1994-04-01 00:00:00",Alberta,1.25
"1994-07-01 00:00:00",Alberta,1.25
"1994-10-01 00:00:00",Alberta,1.13
"1995-01-01 00:00:00",Alberta,1.21
"1995-04-01 00:00:00",Alberta,1.24
"1995-07-01 00:00:00",Alberta,1.26
"1995-10-01 00:00:00",Alberta,1.34
"1996-01-01 00:00:00",Alberta,1.39
"1996-04-01 00:00:00",Alberta,1.39
"1996-07-01 00:00:00",Alberta,1.49
"1996-10-01 00:00:00",Alberta,1.62
"1997-01-01 00:00:00",Alberta,1.67
"1997-04-01 00:00:00",Alberta,1.82
"1997-07-01 00:00:00",Alberta,1.97
"1997-10-01 00:00:00",Alberta,2.07
"1998-01-01 00:00:00",Alberta,2.13
"1998-04-01 00:00:00",Alberta,2.26
"1998-07-01 00:00:00",Alberta,2.45
"1998-10-01 00:00:00",Alberta,2.40
"1999-01-01 00:00:00",Alberta,2.34
"1999-04-01 00:00:00",Alberta,2.11
"1999-07-01 00:00:00",Alberta,1.85
"1999-10-01 00:00:00",Alberta,1.75
"2000-01-01 00:00:00",Alberta,1.66
"2000-04-01 00:00:00",Alberta,1.74
"2000-07-01 00:00:00",Alberta,1.74
"2000-10-01 00:00:00",Alberta,1.69
"2001-01-01 00:00:00",Alberta,1.80
"2001-04-01 00:00:00",Alberta,1.77
"2001-07-01 00:00:00",Alberta,1.81
"2001-10-01 00:00:00",Alberta,2.05
"2002-01-01 00:00:00",Alberta,2.13
"2002-04-01 00:00:00",Alberta,2.22
"2002-07-01 00:00:00",Alberta,2.30
"2002-10-01 00:00:00",Alberta,2.16
"2003-01-01 00:00:00",Alberta,2.03
"2003-04-01 00:00:00",Alberta,1.95
"2003-07-01 00:00:00",Alberta,1.74
"2003-10-01 00:00:00",Alberta,1.68
"2004-01-01 00:00:00",Alberta,1.72
"2004-04-01 00:00:00",Alberta,1.72
"2004-07-01 00:00:00",Alberta,1.74
"2004-10-01 00:00:00",Alberta,1.96
"2005-01-01 00:00:00",Alberta,2.10
"2005-04-01 00:00:00",Alberta,2.26
"2005-07-01 00:00:00",Alberta,2.56
"2005-10-01 00:00:00",Alberta,2.64
"2006-01-01 00:00:00",Alberta,2.90
"2006-04-01 00:00:00",Alberta,3.05
"2006-07-01 00:00:00",Alberta,3.00
"2006-10-01 00:00:00",Alberta,3.20
"2007-01-01 00:00:00",Alberta,2.99
"2007-04-01 00:00:00",Alberta,2.77
"2007-07-01 00:00:00",Alberta,2.71
"2007-10-01 00:00:00",Alberta,2.30
"2008-01-01 00:00:00",Alberta,2.19
"2008-04-01 00:00:00",Alberta,2.20
"2008-07-01 00:00:00",Alberta,2.33
"2008-10-01 00:00:00",Alberta,2.43
"2009-01-01 00:00:00",Alberta,2.53
"2009-04-01 00:00:00",Alberta,2.57
"2009-07-01 00:00:00",Alberta,2.31
"2009-10-01 00:00:00",Alberta,2.07
"2010-01-01 00:00:00",Alberta,1.75
"2010-04-01 00:00:00",Alberta,1.52
"2010-07-01 00:00:00",Alberta,1.44
"2010-10-01 00:00:00",Alberta,1.43
"2011-01-01 00:00:00",Alberta,1.41
"2011-04-01 00:00:00",Alberta,1.45
"2011-07-01 00:00:00",Alberta,1.49
"2011-10-01 00:00:00",Alberta,1.54
"2012-01-01 00:00:00",Alberta,1.81
"2012-04-01 00:00:00",Alberta,2.03
"2012-07-01 00:00:00",Alberta,2.22
"2012-10-01 00:00:00",Alberta,2.44
"2013-01-01 00:00:00",Alberta,2.50
"2013-04-01 00:00:00",Alberta,2.58
"2013-07-01 00:00:00",Alberta,2.75
"2013-10-01 00:00:00",Alberta,2.84
"2014-01-01 00:00:00",Alberta,2.80
"2014-04-01 00:00:00",Alberta,2.73
"2014-07-01 00:00:00",Alberta,2.58
"2014-10-01 00:00:00",Alberta,2.38
"2015-01-01 00:00:00",Alberta,2.14
"2015-04-01 00:00:00",Alberta,1.83
"2015-07-01 00:00:00",Alberta,1.69
"2015-10-01 00:00:00",Alberta,1.45
"2016-01-01 00:00:00",Alberta,1.41
"2016-04-01 00:00:00",Alberta,1.37
"2016-07-01 00:00:00",Alberta,1.09
"2016-10-01 00:00:00",Alberta,1.06
"2017-01-01 00:00:00",Alberta,1.05
"2017-04-01 00:00:00",Alberta,1.02
"2017-07-01 00:00:00",Alberta,1.00
"2017-10-01 00:00:00",Alberta,1.10
"2018-01-01 00:00:00",Alberta,1.15
"2018-04-01 00:00:00",Alberta,1.22
"2018-07-01 00:00:00",Alberta,1.30
"2018-10-01 00:00:00",Alberta,1.36
"2019-01-01 00:00:00",Alberta,1.41
"2019-04-01 00:00:00",Alberta,1.43
"2019-07-01 00:00:00",Alberta,1.46
"2019-10-01 00:00:00",Alberta,1.52
"2020-01-01 00:00:00",Alberta,1.59
"2020-04-01 00:00:00",Alberta,1.57
"2020-07-01 00:00:00",Alberta,1.20
"2020-10-01 00:00:00",Alberta,0.80
"2021-01-01 00:00:00",Alberta,0.58
"2021-04-01 00:00:00",Alberta,0.46
"2021-07-01 00:00:00",Alberta,0.55
"2021-10-01 00:00:00",Alberta,0.87
"2022-01-01 00:00:00",Alberta,1.07
"2022-04-01 00:00:00",Alberta,1.25
"2022-07-01 00:00:00",Alberta,1.79
"2022-10-01 00:00:00",Alberta,2.49
"2023-01-01 00:00:00",Alberta,2.98
"2023-04-01 00:00:00",Alberta,3.67
"2023-07-01 00:00:00",Alberta,4.09
"2023-10-01 00:00:00",Alberta,4.28
"1952-07-01 00:00:00","British Columbia",3.51
"1952-10-01 00:00:00","British Columbia",3.65
"1953-01-01 00:00:00","British Columbia",3.70
"1953-04-01 00:00:00","British Columbia",3.67
"1953-07-01 00:00:00","British Columbia",3.64
"1953-10-01 00:00:00","British Columbia",3.52
"1954-01-01 00:00:00","British Columbia",3.65
"1954-04-01 00:00:00","British Columbia",3.70
"1954-07-01 00:00:00","British Columbia",3.67
"1954-10-01 00:00:00","British Columbia",3.64
"1955-01-01 00:00:00","British Columbia",3.52
"1955-04-01 00:00:00","British Columbia",3.57
"1955-07-01 00:00:00","British Columbia",3.70
"1955-10-01 00:00:00","British Columbia",3.89
"1956-01-01 00:00:00","British Columbia",4.08
"1956-04-01 00:00:00","British Columbia",4.05
"1956-07-01 00:00:00","British Columbia",4.31
"1956-10-01 00:00:00","British Columbia",4.70
"1957-01-01 00:00:00","British Columbia",5.23
"1957-04-01 00:00:00","British Columbia",5.76
"1957-07-01 00:00:00","British Columbia",6.05
"1957-10-01 00:00:00","British Columbia",5.96
"1958-01-01 00:00:00","British Columbia",5.18
"1958-04-01 00:00:00","British Columbia",4.36
"1958-07-01 00:00:00","British Columbia",3.36
"1958-10-01 00:00:00","British Columbia",2.45
"1959-01-01 00:00:00","British Columbia",2.10
"1959-04-01 00:00:00","British Columbia",1.96
"1959-07-01 00:00:00","British Columbia",1.95
"1959-10-01 00:00:00","British Columbia",2.07
"1960-01-01 00:00:00","British Columbia",2.12
"1960-04-01 00:00:00","British Columbia",2.18
"1960-07-01 00:00:00","British Columbia",2.23
"1960-10-01 00:00:00","British Columbia",2.15
"1961-01-01 00:00:00","British Columbia",2.01
"1961-04-01 00:00:00","British Columbia",1.88
"1961-07-01 00:00:00","British Columbia",1.68
"1961-10-01 00:00:00","British Columbia",1.61
"1962-01-01 00:00:00","British Columbia",1.67
"1962-04-01 00:00:00","British Columbia",1.78
"1962-07-01 00:00:00","British Columbia",1.90
"1962-10-01 00:00:00","British Columbia",2.07
"1963-01-01 00:00:00","British Columbia",2.31
