ref_date,region,num_births
"1946-01-01 00:00:00",Canada,73273
"1946-01-01 00:00:00","Prince Edward Island",598
"1946-01-01 00:00:00","Nova Scotia",3814
"1946-01-01 00:00:00","New Brunswick",3572
"1946-01-01 00:00:00",Quebec,26462
"1946-01-01 00:00:00",Ontario,20257
"1946-01-01 00:00:00",Manitoba,4073
"1946-01-01 00:00:00",Saskatchewan,4618
"1946-01-01 00:00:00",Alberta,4791
"1946-01-01 00:00:00","British Columbia",4894
"1946-01-01 00:00:00",Yukon,34
"1946-01-01 00:00:00","Northwest Territories including Nunavut",160
"1946-04-01 00:00:00",Canada,86530
"1946-04-01 00:00:00","Prince Edward Island",778
"1946-04-01 00:00:00","Nova Scotia",4554
"1946-04-01 00:00:00","New Brunswick",4279
"1946-04-01 00:00:00",Quebec,30045
"1946-04-01 00:00:00",Ontario,24892
"1946-04-01 00:00:00",Manitoba,4830
"1946-04-01 00:00:00",Saskatchewan,5565
"1946-04-01 00:00:00",Alberta,5752
"1946-04-01 00:00:00","British Columbia",5659
"1946-04-01 00:00:00",Yukon,26
"1946-04-01 00:00:00","Northwest Territories including Nunavut",150
"1946-07-01 00:00:00",Canada,88465
"1946-07-01 00:00:00","Prince Edward Island",747
"1946-07-01 00:00:00","Nova Scotia",4929
"1946-07-01 00:00:00","New Brunswick",4366
"1946-07-01 00:00:00",Quebec,28920
"1946-07-01 00:00:00",Ontario,26280
"1946-07-01 00:00:00",Manitoba,5089
"1946-07-01 00:00:00",Saskatchewan,5916
"1946-07-01 00:00:00",Alberta,6012
"1946-07-01 00:00:00","British Columbia",6029
"1946-07-01 00:00:00",Yukon,43
"1946-07-01 00:00:00","Northwest Territories including Nunavut",134
"1946-10-01 00:00:00",Canada,83203
"1946-10-01 00:00:00","Prince Edward Island",670
"1946-10-01 00:00:00","Nova Scotia",4617
"1946-10-01 00:00:00","New Brunswick",4057
"1946-10-01 00:00:00",Quebec,25858
"1946-10-01 00:00:00",Ontario,26017
"1946-10-01 00:00:00",Manitoba,4802
"1946-10-01 00:00:00",Saskatchewan,5334
"1946-10-01 00:00:00",Alberta,5629
"1946-10-01 00:00:00","British Columbia",6027
"1946-10-01 00:00:00",Yukon,43
"1946-10-01 00:00:00","Northwest Territories including Nunavut",149
"1947-01-01 00:00:00",Canada,89319
"1947-01-01 00:00:00","Prince Edward Island",709
"1947-01-01 00:00:00","Nova Scotia",4764
"1947-01-01 00:00:00","New Brunswick",4427
"1947-01-01 00:00:00",Quebec,28617
"1947-01-01 00:00:00",Ontario,27220
