ref_date,region,birth_or_death,num_people,growth_from_births
"1946-01-01 00:00:00",Alberta,Births,4791,3026
"1946-01-01 00:00:00",Alberta,Deaths,1765,3026
"1946-01-01 00:00:00","British Columbia",Births,4894,2276
"1946-01-01 00:00:00","British Columbia",Deaths,2618,2276
"1946-01-01 00:00:00",Canada,Births,73273,41644
"1946-01-01 00:00:00",Canada,Deaths,31629,41644
"1946-01-01 00:00:00",Manitoba,Births,4073,2390
"1946-01-01 00:00:00",Manitoba,Deaths,1683,2390
"1946-01-01 00:00:00","New Brunswick",Births,3572,2222
"1946-01-01 00:00:00","New Brunswick",Deaths,1350,2222
"1946-01-01 00:00:00","Northwest Territories including Nunavut",Births,160,37
"1946-01-01 00:00:00","Northwest Territories including Nunavut",Deaths,123,37
"1946-01-01 00:00:00","Nova Scotia",Births,3814,2091
"1946-01-01 00:00:00","Nova Scotia",Deaths,1723,2091
"1946-01-01 00:00:00",Ontario,Births,20257,9372
"1946-01-01 00:00:00",Ontario,Deaths,10885,9372
"1946-01-01 00:00:00","Prince Edward Island",Births,598,326
"1946-01-01 00:00:00","Prince Edward Island",Deaths,272,326
"1946-01-01 00:00:00",Quebec,Births,26462,16905
"1946-01-01 00:00:00",Quebec,Deaths,9557,16905
"1946-01-01 00:00:00",Saskatchewan,Births,4618,2988
"1946-01-01 00:00:00",Saskatchewan,Deaths,1630,2988
"1946-01-01 00:00:00",Yukon,Births,34,11
"1946-01-01 00:00:00",Yukon,Deaths,23,11
"1946-04-01 00:00:00",Alberta,Deaths,1619,4133
"1946-04-01 00:00:00",Alberta,Births,5752,4133
"1946-04-01 00:00:00","British Columbia",Births,5659,3156
"1946-04-01 00:00:00","British Columbia",Deaths,2503,3156
"1946-04-01 00:00:00",Canada,Deaths,28938,57592
"1946-04-01 00:00:00",Canada,Births,86530,57592
"1946-04-01 00:00:00",Manitoba,Births,4830,3164
"1946-04-01 00:00:00",Manitoba,Deaths,1666,3164
"1946-04-01 00:00:00","New Brunswick",Births,4279,3075
"1946-04-01 00:00:00","New Brunswick",Deaths,1204,3075
"1946-04-01 00:00:00","Northwest Territories including Nunavut",Births,150,69
"1946-04-01 00:00:00","Northwest Territories including Nunavut",Deaths,81,69
"1946-04-01 00:00:00","Nova Scotia",Births,4554,3071
"1946-04-01 00:00:00","Nova Scotia",Deaths,1483,3071
"1946-04-01 00:00:00",Ontario,Births,24892,14931
"1946-04-01 00:00:00",Ontario,Deaths,9961,14931
"1946-04-01 00:00:00","Prince Edward Island",Deaths,183,595
"1946-04-01 00:00:00","Prince Edward Island",Births,778,595
"1946-04-01 00:00:00",Quebec,Births,30045,21456
"1946-04-01 00:00:00",Quebec,Deaths,8589,21456
"1946-04-01 00:00:00",Saskatchewan,Births,5565,3938
"1946-04-01 00:00:00",Saskatchewan,Deaths,1627,3938
"1946-04-01 00:00:00",Yukon,Births,26,4
"1946-04-01 00:00:00",Yukon,Deaths,22,4
"1946-07-01 00:00:00",Alberta,Deaths,1489,4523
"1946-07-01 00:00:00",Alberta,Births,6012,4523
"1946-07-01 00:00:00","British Columbia",Deaths,2326,3703
"1946-07-01 00:00:00","British Columbia",Births,6029,3703
"1946-07-01 00:00:00",Canada,Births,88465,62444
"1946-07-01 00:00:00",Canada,Deaths,26021,62444
"1946-07-01 00:00:00",Manitoba,Deaths,1517,3572
"1946-07-01 00:00:00",Manitoba,Births,5089,3572
"1946-07-01 00:00:00","New Brunswick",Deaths,1076,3290
"1946-07-01 00:00:00","New Brunswick",Births,4366,3290
"1946-07-01 00:00:00","Northwest Territories including Nunavut",Births,134,68
"1946-07-01 00:00:00","Northwest Territories including Nunavut",Deaths,66,68
"1946-07-01 00:00:00","Nova Scotia",Deaths,1337,3592
"1946-07-01 00:00:00","Nova Scotia",Births,4929,3592
"1946-07-01 00:00:00",Ontario,Births,26280,17408
"1946-07-01 00:00:00",Ontario,Deaths,8872,17408
"1946-07-01 00:00:00","Prince Edward Island",Deaths,218,529
"1946-07-01 00:00:00","Prince Edward Island",Births,747,529
"1946-07-01 00:00:00",Quebec,Deaths,7529,21391
"1946-07-01 00:00:00",Quebec,Births,28920,21391
"1946-07-01 00:00:00",Saskatchewan,Births,5916,4339
"1946-07-01 00:00:00",Saskatchewan,Deaths,1577,4339
"1946-07-01 00:00:00",Yukon,Births,43,29
"1946-07-01 00:00:00",Yukon,Deaths,14,29
"1946-10-01 00:00:00",Alberta,Deaths,1728,3901
"1946-10-01 00:00:00",Alberta,Births,5629,3901
"1946-10-01 00:00:00","British Columbia",Deaths,2690,3337
"1946-10-01 00:00:00","British Columbia",Births,6027,3337
"1946-10-01 00:00:00",Canada,Births,83203,54433
"1946-10-01 00:00:00",Canada,Deaths,28770,54433
"1946-10-01 00:00:00",Manitoba,Deaths,1671,3131
"1946-10-01 00:00:00",Manitoba,Births,4802,3131
"1946-10-01 00:00:00","New Brunswick",Births,4057,2821
"1946-10-01 00:00:00","New Brunswick",Deaths,1236,2821
"1946-10-01 00:00:00","Northwest Territories including Nunavut",Deaths,77,72
"1946-10-01 00:00:00","Northwest Territories including Nunavut",Births,149,72
"1946-10-01 00:00:00","Nova Scotia",Deaths,1503,3114
"1946-10-01 00:00:00","Nova Scotia",Births,4617,3114
"1946-10-01 00:00:00",Ontario,Births,26017,15977
"1946-10-01 00:00:00",Ontario,Deaths,10040,15977
"1946-10-01 00:00:00","Prince Edward Island",Deaths,201,469
"1946-10-01 00:00:00","Prince Edward Island",Births,670,469
"1946-10-01 00:00:00",Quebec,Deaths,8015,17843
"1946-10-01 00:00:00",Quebec,Births,25858,17843
"1946-10-01 00:00:00",Saskatchewan,Births,5334,3746
"1946-10-01 00:00:00",Saskatchewan,Deaths,1588,3746
"1946-10-01 00:00:00",Yukon,Births,43,22
"1946-10-01 00:00:00",Yukon,Deaths,21,22
"1947-01-01 00:00:00",Alberta,Deaths,1778,4436
"1947-01-01 00:00:00",Alberta,Births,6214,4436
"1947-01-01 00:00:00","British Columbia",Deaths,2716,3628
"1947-01-01 00:00:00","British Columbia",Births,6344,3628
"1947-01-01 00:00:00",Canada,Births,89319,58334
"1947-01-01 00:00:00",Canada,Deaths,30985,58334
"1947-01-01 00:00:00",Manitoba,Deaths,1781,3221
"1947-01-01 00:00:00",Manitoba,Births,5002,3221
"1947-01-01 00:00:00","New Brunswick",Births,4427,3180
"1947-01-01 00:00:00","New Brunswick",Deaths,1247,3180
"1947-01-01 00:00:00","Northwest Territories including Nunavut",Deaths,108,88
"1947-01-01 00:00:00","Northwest Territories including Nunavut",Births,196,88
"1947-01-01 00:00:00","Nova Scotia",Deaths,1628,3136
"1947-01-01 00:00:00","Nova Scotia",Births,4764,3136
"1947-01-01 00:00:00",Ontario,Deaths,10875,16345
"1947-01-01 00:00:00",Ontario,Births,27220,16345
"1947-01-01 00:00:00","Prince Edward Island",Deaths,299,410
"1947-01-01 00:00:00","Prince Edward Island",Births,709,410
"1947-01-01 00:00:00",Quebec,Deaths,8815,19802
"1947-01-01 00:00:00",Quebec,Births,28617,19802
"1947-01-01 00:00:00",Saskatchewan,Births,5773,4057
"1947-01-01 00:00:00",Saskatchewan,Deaths,1716,4057
"1947-01-01 00:00:00",Yukon,Births,53,31
"1947-01-01 00:00:00",Yukon,Deaths,22,31
"1947-04-01 00:00:00",Alberta,Deaths,1625,4951
"1947-04-01 00:00:00",Alberta,Births,6576,4951
"1947-04-01 00:00:00","British Columbia",Deaths,2615,4185
"1947-04-01 00:00:00","British Columbia",Births,6800,4185
"1947-04-01 00:00:00",Canada,Births,96722,66453
"1947-04-01 00:00:00",Canada,Deaths,30269,66453
"1947-04-01 00:00:00",Manitoba,Births,5576,3906
"1947-04-01 00:00:00",Manitoba,Deaths,1670,3906
"1947-04-01 00:00:00","New Brunswick",Births,4660,3384
"1947-04-01 00:00:00","New Brunswick",Deaths,1276,3384
"1947-04-01 00:00:00","Northwest Territories including Nunavut",Deaths,94,63
"1947-04-01 00:00:00","Northwest Territories including Nunavut",Births,157,63
"1947-04-01 00:00:00","Nova Scotia",Births,5128,3571
"1947-04-01 00:00:00","Nova Scotia",Deaths,1557,3571
"1947-04-01 00:00:00",Ontario,Births,28895,18286
"1947-04-01 00:00:00",Ontario,Deaths,10609,18286
"1947-04-01 00:00:00","Prince Edward Island",Deaths,256,579
"1947-04-01 00:00:00","Prince Edward Island",Births,835,579
"1947-04-01 00:00:00",Quebec,Deaths,8887,22856
"1947-04-01 00:00:00",Quebec,Births,31743,22856
"1947-04-01 00:00:00",Saskatchewan,Deaths,1663,4626
"1947-04-01 00:00:00",Saskatchewan,Births,6289,4626
"1947-04-01 00:00:00",Yukon,Births,63,46
"1947-04-01 00:00:00",Yukon,Deaths,17,46
"1947-07-01 00:00:00",Alberta,Deaths,1534,4769
"1947-07-01 00:00:00",Alberta,Births,6303,4769
"1947-07-01 00:00:00","British Columbia",Deaths,2455,4355
"1947-07-01 00:00:00","British Columbia",Births,6810,4355
"1947-07-01 00:00:00",Canada,Births,91900,64671
"1947-07-01 00:00:00",Canada,Deaths,27229,64671
"1947-07-01 00:00:00",Manitoba,Deaths,1629,3630
"1947-07-01 00:00:00",Manitoba,Births,5259,3630
"1947-07-01 00:00:00","New Brunswick",Births,4691,3617
"1947-07-01 00:00:00","New Brunswick",Deaths,1074,3617
"1947-07-01 00:00:00","Northwest Territories including Nunavut",Deaths,91,48
"1947-07-01 00:00:00","Northwest Territories including Nunavut",Births,139,48
"1947-07-01 00:00:00","Nova Scotia",Deaths,1357,3668
"1947-07-01 00:00:00","Nova Scotia",Births,5025,3668
"1947-07-01 00:00:00",Ontario,Deaths,9432,18357
"1947-07-01 00:00:00",Ontario,Births,27789,18357
"1947-07-01 00:00:00","Prince Edward Island",Deaths,233,547
"1947-07-01 00:00:00","Prince Edward Island",Births,780,547
"1947-07-01 00:00:00",Quebec,Deaths,7821,21151
"1947-07-01 00:00:00",Quebec,Births,28972,21151
"1947-07-01 00:00:00",Saskatchewan,Births,6080,4499
"1947-07-01 00:00:00",Saskatchewan,Deaths,1581,4499
"1947-07-01 00:00:00",Yukon,Births,52,30
"1947-07-01 00:00:00",Yukon,Deaths,22,30
"1947-10-01 00:00:00",Alberta,Deaths,1606,3932
"1947-10-01 00:00:00",Alberta,Births,5538,3932
"1947-10-01 00:00:00","British Columbia",Deaths,2827,3505
"1947-10-01 00:00:00","British Columbia",Births,6332,3505
"1947-10-01 00:00:00",Canada,Births,82002,52328
"1947-10-01 00:00:00",Canada,Deaths,29674,52328
"1947-10-01 00:00:00",Manitoba,Births,4572,2902
"1947-10-01 00:00:00",Manitoba,Deaths,1670,2902
"1947-10-01 00:00:00","New Brunswick",Deaths,1235,2758
"1947-10-01 00:00:00","New Brunswick",Births,3993,2758
"1947-10-01 00:00:00","Northwest Territories including Nunavut",Births,133,50
"1947-10-01 00:00:00","Northwest Territories including Nunavut",Deaths,83,50
"1947-10-01 00:00:00","Nova Scotia",Deaths,1467,2881
"1947-10-01 00:00:00","Nova Scotia",Births,4348,2881
"1947-10-01 00:00:00",Ontario,Deaths,10703,14246
"1947-10-01 00:00:00",Ontario,Births,24949,14246
"1947-10-01 00:00:00","Prince Edward Island",Deaths,232,436
"1947-10-01 00:00:00","Prince Edward Island",Births,668,436
"1947-10-01 00:00:00",Quebec,Deaths,8185,18036
"1947-10-01 00:00:00",Quebec,Births,26221,18036
"1947-10-01 00:00:00",Saskatchewan,Births,5192,3542
"1947-10-01 00:00:00",Saskatchewan,Deaths,1650,3542
"1947-10-01 00:00:00",Yukon,Births,56,40
"1947-10-01 00:00:00",Yukon,Deaths,16,40
"1948-01-01 00:00:00",Alberta,Deaths,1851,4131
"1948-01-01 00:00:00",Alberta,Births,5982,4131
"1948-01-01 00:00:00","British Columbia",Deaths,3206,3022
"1948-01-01 00:00:00","British Columbia",Births,6228,3022
"1948-01-01 00:00:00",Canada,Births,85176,52361
"1948-01-01 00:00:00",Canada,Deaths,32815,52361
"1948-01-01 00:00:00",Manitoba,Births,4621,2870
"1948-01-01 00:00:00",Manitoba,Deaths,1751,2870
"1948-01-01 00:00:00","New Brunswick",Births,4199,2884
"1948-01-01 00:00:00","New Brunswick",Deaths,1315,2884
"1948-01-01 00:00:00","Northwest Territories including Nunavut",Deaths,61,107
"1948-01-01 00:00:00","Northwest Territories including Nunavut",Births,168,107
"1948-01-01 00:00:00","Nova Scotia",Births,4394,2675
"1948-01-01 00:00:00","Nova Scotia",Deaths,1719,2675
"1948-01-01 00:00:00",Ontario,Deaths,11531,14012
"1948-01-01 00:00:00",Ontario,Births,25543,14012
"1948-01-01 00:00:00","Prince Edward Island",Deaths,242,439
"1948-01-01 00:00:00","Prince Edward Island",Births,681,439
"1948-01-01 00:00:00",Quebec,Deaths,9460,18714
"1948-01-01 00:00:00",Quebec,Births,28174,18714
"1948-01-01 00:00:00",Saskatchewan,Deaths,1660,3454
"1948-01-01 00:00:00",Saskatchewan,Births,5114,3454
"1948-01-01 00:00:00",Yukon,Births,72,53
"1948-01-01 00:00:00",Yukon,Deaths,19,53
"1948-04-01 00:00:00",Alberta,Deaths,1820,4455
