ref_date,region,num_deaths
"1946-01-01 00:00:00",Canada,31629
"1946-01-01 00:00:00","Prince Edward Island",272
"1946-01-01 00:00:00","Nova Scotia",1723
"1946-01-01 00:00:00","New Brunswick",1350
"1946-01-01 00:00:00",Quebec,9557
"1946-01-01 00:00:00",Ontario,10885
"1946-01-01 00:00:00",Manitoba,1683
"1946-01-01 00:00:00",Saskatchewan,1630
"1946-01-01 00:00:00",Alberta,1765
"1946-01-01 00:00:00","British Columbia",2618
"1946-01-01 00:00:00",Yukon,23
"1946-01-01 00:00:00","Northwest Territories including Nunavut",123
"1946-04-01 00:00:00",Canada,28938
"1946-04-01 00:00:00","Prince Edward Island",183
"1946-04-01 00:00:00","Nova Scotia",1483
"1946-04-01 00:00:00","New Brunswick",1204
"1946-04-01 00:00:00",Quebec,8589
"1946-04-01 00:00:00",Ontario,9961
"1946-04-01 00:00:00",Manitoba,1666
"1946-04-01 00:00:00",Saskatchewan,1627
"1946-04-01 00:00:00",Alberta,1619
"1946-04-01 00:00:00","British Columbia",2503
"1946-04-01 00:00:00",Yukon,22
"1946-04-01 00:00:00","Northwest Territories including Nunavut",81
"1946-07-01 00:00:00",Canada,26021
"1946-07-01 00:00:00","Prince Edward Island",218
"1946-07-01 00:00:00","Nova Scotia",1337
"1946-07-01 00:00:00","New Brunswick",1076
"1946-07-01 00:00:00",Quebec,7529
"1946-07-01 00:00:00",Ontario,8872
"1946-07-01 00:00:00",Manitoba,1517
"1946-07-01 00:00:00",Saskatchewan,1577
"1946-07-01 00:00:00",Alberta,1489
"1946-07-01 00:00:00","British Columbia",2326
"1946-07-01 00:00:00",Yukon,14
"1946-07-01 00:00:00","Northwest Territories including Nunavut",66
"1946-10-01 00:00:00",Canada,28770
"1946-10-01 00:00:00","Prince Edward Island",201
"1946-10-01 00:00:00","Nova Scotia",1503
"1946-10-01 00:00:00","New Brunswick",1236
"1946-10-01 00:00:00",Quebec,8015
"1946-10-01 00:00:00",Ontario,10040
"1946-10-01 00:00:00",Manitoba,1671
"1946-10-01 00:00:00",Saskatchewan,1588
"1946-10-01 00:00:00",Alberta,1728
"1946-10-01 00:00:00","British Columbia",2690
"1946-10-01 00:00:00",Yukon,21
"1946-10-01 00:00:00","Northwest Territories including Nunavut",77
"1947-01-01 00:00:00",Canada,30985
"1947-01-01 00:00:00","Prince Edward Island",299
"1947-01-01 00:00:00","Nova Scotia",1628
"1947-01-01 00:00:00","New Brunswick",1247
"1947-01-01 00:00:00",Quebec,8815
"1947-01-01 00:00:00",Ontario,10875
"1947-01-01 00:00:00",Manitoba,1781
"1947-01-01 00:00:00",Saskatchewan,1716
"1947-01-01 00:00:00",Alberta,1778
"1947-01-01 00:00:00","British Columbia",2716
"1947-01-01 00:00:00",Yukon,22
"1947-01-01 00:00:00","Northwest Territories including Nunavut",108
"1947-04-01 00:00:00",Canada,30269
"1947-04-01 00:00:00","Prince Edward Island",256
"1947-04-01 00:00:00","Nova Scotia",1557
"1947-04-01 00:00:00","New Brunswick",1276
"1947-04-01 00:00:00",Quebec,8887
"1947-04-01 00:00:00",Ontario,10609
"1947-04-01 00:00:00",Manitoba,1670
"1947-04-01 00:00:00",Saskatchewan,1663
"1947-04-01 00:00:00",Alberta,1625
"1947-04-01 00:00:00","British Columbia",2615
"1947-04-01 00:00:00",Yukon,17
"1947-04-01 00:00:00","Northwest Territories including Nunavut",94
"1947-07-01 00:00:00",Canada,27229
"1947-07-01 00:00:00","Prince Edward Island",233
"1947-07-01 00:00:00","Nova Scotia",1357
"1947-07-01 00:00:00","New Brunswick",1074
"1947-07-01 00:00:00",Quebec,7821
"1947-07-01 00:00:00",Ontario,9432
"1947-07-01 00:00:00",Manitoba,1629
"1947-07-01 00:00:00",Saskatchewan,1581
"1947-07-01 00:00:00",Alberta,1534
"1947-07-01 00:00:00","British Columbia",2455
"1947-07-01 00:00:00",Yukon,22
"1947-07-01 00:00:00","Northwest Territories including Nunavut",91
"1947-10-01 00:00:00",Canada,29674
"1947-10-01 00:00:00","Prince Edward Island",232
"1947-10-01 00:00:00","Nova Scotia",1467
"1947-10-01 00:00:00","New Brunswick",1235
"1947-10-01 00:00:00",Quebec,8185
"1947-10-01 00:00:00",Ontario,10703
"1947-10-01 00:00:00",Manitoba,1670
"1947-10-01 00:00:00",Saskatchewan,1650
"1947-10-01 00:00:00",Alberta,1606
"1947-10-01 00:00:00","British Columbia",2827
"1947-10-01 00:00:00",Yukon,16
