ref_date,region,status,population_change,annual_population_growth,percent_of_total_population,percent_of_population_change
"1946-01-01 00:00:00",Canada,Immigrants,12738,NULL,0.10,NULL
"1946-04-01 00:00:00",Canada,Immigrants,21176,NULL,0.17,NULL
"1946-07-01 00:00:00",Canada,Immigrants,25078,NULL,0.20,NULL
"1946-10-01 00:00:00",Canada,Immigrants,12727,NULL,0.10,NULL
"1947-01-01 00:00:00",Canada,Immigrants,8009,262000,0.06,3.06
"1947-04-01 00:00:00",Canada,Immigrants,13404,266000,0.11,5.04
"1947-07-01 00:00:00",Canada,Immigrants,18624,260000,0.15,7.16
"1947-10-01 00:00:00",Canada,Immigrants,24090,253000,0.19,9.52
"1948-01-01 00:00:00",Canada,Immigrants,23076,260000,0.18,8.88
"1948-04-01 00:00:00",Canada,Immigrants,34199,266000,0.27,12.86
"1948-07-01 00:00:00",Canada,Immigrants,33932,276000,0.26,12.29
"1948-10-01 00:00:00",Canada,Immigrants,34207,284000,0.26,12.04
"1949-01-01 00:00:00",Canada,Immigrants,23265,288000,0.18,8.08
"1949-04-01 00:00:00",Canada,Immigrants,30243,626000,0.23,4.83
"1949-07-01 00:00:00",Canada,Immigrants,22641,623000,0.17,3.63
"1949-10-01 00:00:00",Canada,Immigrants,19068,618000,0.14,3.09
"1950-01-01 00:00:00",Canada,Immigrants,14470,609000,0.11,2.38
"1950-04-01 00:00:00",Canada,Immigrants,22816,264000,0.17,8.64
"1950-07-01 00:00:00",Canada,Immigrants,16964,262000,0.12,6.47
"1950-10-01 00:00:00",Canada,Immigrants,19662,259000,0.14,7.59
"1951-01-01 00:00:00",Canada,Immigrants,25914,263000,0.19,9.85
"1951-04-01 00:00:00",Canada,Immigrants,53871,274000,0.39,19.66
"1951-07-01 00:00:00",Canada,Immigrants,50100,313000,0.36,16.01
"1951-07-01 00:00:00",Canada,Emigrants,13637,313000,0.10,4.36
"1951-07-01 00:00:00","Newfoundland and Labrador",Immigrants,50,NULL,0.01,NULL
"1951-07-01 00:00:00","Newfoundland and Labrador",Emigrants,213,NULL,0.06,NULL
"1951-07-01 00:00:00","Nova Scotia",Immigrants,482,NULL,0.07,NULL
"1951-07-01 00:00:00","Nova Scotia",Emigrants,492,NULL,0.08,NULL
"1951-07-01 00:00:00","New Brunswick",Immigrants,397,NULL,0.08,NULL
"1951-07-01 00:00:00","New Brunswick",Emigrants,377,NULL,0.07,NULL
"1951-07-01 00:00:00",Manitoba,Immigrants,2168,NULL,0.28,NULL
"1951-07-01 00:00:00",Manitoba,Emigrants,511,NULL,0.07,NULL
"1951-07-01 00:00:00",Alberta,Immigrants,2648,NULL,0.28,NULL
"1951-07-01 00:00:00",Alberta,Emigrants,858,NULL,0.09,NULL
"1951-07-01 00:00:00","British Columbia",Immigrants,4000,NULL,0.34,NULL
"1951-07-01 00:00:00","British Columbia",Emigrants,1543,NULL,0.13,NULL
"1951-07-01 00:00:00","Northwest Territories including Nunavut",Immigrants,7,NULL,0.04,NULL
"1951-07-01 00:00:00","Northwest Territories including Nunavut",Emigrants,13,NULL,0.08,NULL
"1951-10-01 00:00:00",Canada,Immigrants,64506,356000,0.46,18.12
"1951-10-01 00:00:00",Canada,Emigrants,13637,356000,0.10,3.83
"1951-10-01 00:00:00","Newfoundland and Labrador",Immigrants,96,NULL,0.03,NULL
"1951-10-01 00:00:00","Newfoundland and Labrador",Emigrants,213,NULL,0.06,NULL
"1951-10-01 00:00:00","Nova Scotia",Immigrants,662,NULL,0.10,NULL
"1951-10-01 00:00:00","Nova Scotia",Emigrants,492,NULL,0.08,NULL
"1951-10-01 00:00:00","New Brunswick",Immigrants,387,NULL,0.07,NULL
"1951-10-01 00:00:00","New Brunswick",Emigrants,377,NULL,0.07,NULL
"1951-10-01 00:00:00",Manitoba,Immigrants,2881,NULL,0.37,NULL
"1951-10-01 00:00:00",Manitoba,Emigrants,512,NULL,0.07,NULL
"1951-10-01 00:00:00",Alberta,Immigrants,3160,NULL,0.33,NULL
"1951-10-01 00:00:00",Alberta,Emigrants,857,NULL,0.09,NULL
"1951-10-01 00:00:00","British Columbia",Immigrants,4745,NULL,0.40,NULL
"1951-10-01 00:00:00","British Columbia",Emigrants,1544,NULL,0.13,NULL
"1951-10-01 00:00:00","Northwest Territories including Nunavut",Immigrants,5,NULL,0.03,NULL
"1951-10-01 00:00:00","Northwest Territories including Nunavut",Emigrants,13,NULL,0.08,NULL
"1952-01-01 00:00:00",Canada,Immigrants,42743,407000,0.30,10.50
"1952-01-01 00:00:00",Canada,Emigrants,13637,407000,0.10,3.35
"1952-01-01 00:00:00","Newfoundland and Labrador",Immigrants,72,NULL,0.02,NULL
"1952-01-01 00:00:00","Newfoundland and Labrador",Emigrants,213,NULL,0.06,NULL
"1952-01-01 00:00:00","Nova Scotia",Immigrants,666,NULL,0.10,NULL
"1952-01-01 00:00:00","Nova Scotia",Emigrants,492,NULL,0.08,NULL
"1952-01-01 00:00:00","New Brunswick",Immigrants,216,NULL,0.04,NULL
"1952-01-01 00:00:00","New Brunswick",Emigrants,377,NULL,0.07,NULL
"1952-01-01 00:00:00",Manitoba,Immigrants,1604,NULL,0.20,NULL
"1952-01-01 00:00:00",Manitoba,Emigrants,511,NULL,0.06,NULL
"1952-01-01 00:00:00",Alberta,Immigrants,2605,NULL,0.27,NULL
"1952-01-01 00:00:00",Alberta,Emigrants,858,NULL,0.09,NULL
"1952-01-01 00:00:00","British Columbia",Immigrants,3467,NULL,0.29,NULL
"1952-01-01 00:00:00","British Columbia",Emigrants,1543,NULL,0.13,NULL
"1952-01-01 00:00:00","Northwest Territories including Nunavut",Immigrants,4,NULL,0.03,NULL
"1952-01-01 00:00:00","Northwest Territories including Nunavut",Emigrants,13,NULL,0.08,NULL
"1952-04-01 00:00:00",Canada,Immigrants,55314,439000,0.38,12.60
"1952-04-01 00:00:00",Canada,Emigrants,14685,439000,0.10,3.35
"1952-04-01 00:00:00","Newfoundland and Labrador",Immigrants,162,NULL,0.04,NULL
"1952-04-01 00:00:00","Newfoundland and Labrador",Emigrants,286,NULL,0.08,NULL
"1952-04-01 00:00:00","Nova Scotia",Immigrants,1017,NULL,0.16,NULL
"1952-04-01 00:00:00","Nova Scotia",Emigrants,586,NULL,0.09,NULL
"1952-04-01 00:00:00","New Brunswick",Immigrants,308,NULL,0.06,NULL
"1952-04-01 00:00:00","New Brunswick",Emigrants,474,NULL,0.09,NULL
"1952-04-01 00:00:00",Manitoba,Immigrants,2310,NULL,0.29,NULL
"1952-04-01 00:00:00",Manitoba,Emigrants,649,NULL,0.08,NULL
"1952-04-01 00:00:00",Alberta,Immigrants,4766,NULL,0.49,NULL
"1952-04-01 00:00:00",Alberta,Emigrants,946,NULL,0.10,NULL
"1952-04-01 00:00:00","British Columbia",Immigrants,4964,NULL,0.41,NULL
"1952-04-01 00:00:00","British Columbia",Emigrants,1492,NULL,0.12,NULL
"1952-04-01 00:00:00","Northwest Territories including Nunavut",Immigrants,9,NULL,0.06,NULL
"1952-04-01 00:00:00","Northwest Territories including Nunavut",Emigrants,14,NULL,0.09,NULL
"1952-07-01 00:00:00",Canada,Immigrants,37239,446000,0.26,8.35
"1952-07-01 00:00:00",Canada,Emigrants,16563,446000,0.11,3.71
"1952-07-01 00:00:00","Newfoundland and Labrador",Immigrants,141,13000,0.04,1.08
"1952-07-01 00:00:00","Newfoundland and Labrador",Emigrants,431,13000,0.11,3.32
"1952-07-01 00:00:00","Nova Scotia",Immigrants,563,11000,0.09,5.12
"1952-07-01 00:00:00","Nova Scotia",Emigrants,761,11000,0.12,6.92
"1952-07-01 00:00:00","New Brunswick",Immigrants,278,10000,0.05,2.78
"1952-07-01 00:00:00","New Brunswick",Emigrants,628,10000,0.12,6.28
"1952-07-01 00:00:00",Manitoba,Immigrants,1767,21000,0.22,8.41
"1952-07-01 00:00:00",Manitoba,Emigrants,912,21000,0.11,4.34
"1952-07-01 00:00:00",Alberta,Immigrants,3374,34000,0.35,9.92
"1952-07-01 00:00:00",Alberta,Emigrants,1109,34000,0.11,3.26
"1952-07-01 00:00:00","British Columbia",Immigrants,3672,41000,0.30,8.96
"1952-07-01 00:00:00","British Columbia",Emigrants,1375,41000,0.11,3.35
"1952-07-01 00:00:00","Northwest Territories including Nunavut",Immigrants,19,0,0.12,NULL
"1952-07-01 00:00:00","Northwest Territories including Nunavut",Emigrants,16,0,0.10,NULL
"1952-10-01 00:00:00",Canada,Immigrants,29202,435000,0.20,6.71
