ref_date,region,destination,num_people,region_pop,percent_of_region_pop,destination_pop,percent_of_destination_pop
"1971-07-01 00:00:00","Alberta, province of origin","British Columbia, province of destination",8816,1665717,0.5293,2240470,0.3935
"1971-07-01 00:00:00","Alberta, province of origin","Manitoba, province of destination",1410,1665717,0.0846,998876,0.1412
"1971-07-01 00:00:00","Alberta, province of origin","New Brunswick, province of destination",243,1665717,0.0146,642471,0.0378
"1971-07-01 00:00:00","Alberta, province of origin","Newfoundland and Labrador, province of destination",188,1665717,0.0113,530854,0.0354
"1971-07-01 00:00:00","Alberta, province of origin","Northwest Territories including Nunavut, province of destination",544,1665717,0.0327,36398,1.4946
"1971-07-01 00:00:00","Alberta, province of origin","Nova Scotia, province of destination",431,1665717,0.0259,797294,0.0541
"1971-07-01 00:00:00","Alberta, province of origin","Ontario, province of destination",3675,1665717,0.2206,7849027,0.0468
"1971-07-01 00:00:00","Alberta, province of origin","Prince Edward Island, province of destination",80,1665717,0.0048,112591,0.0711
"1971-07-01 00:00:00","Alberta, province of origin","Quebec, province of destination",478,1665717,0.0287,6137305,0.0078
"1971-07-01 00:00:00","Alberta, province of origin","Saskatchewan, province of destination",2406,1665717,0.1444,932038,0.2581
"1971-07-01 00:00:00","Alberta, province of origin","Yukon, province of destination",347,1665717,0.0208,18991,1.8272
"1971-07-01 00:00:00","British Columbia, province of origin","Alberta, province of destination",6362,2240470,0.2840,1665717,0.3819
"1971-07-01 00:00:00","British Columbia, province of origin","Manitoba, province of destination",1361,2240470,0.0607,998876,0.1363
"1971-07-01 00:00:00","British Columbia, province of origin","New Brunswick, province of destination",298,2240470,0.0133,642471,0.0464
"1971-07-01 00:00:00","British Columbia, province of origin","Newfoundland and Labrador, province of destination",150,2240470,0.0067,530854,0.0283
"1971-07-01 00:00:00","British Columbia, province of origin","Northwest Territories including Nunavut, province of destination",410,2240470,0.0183,36398,1.1264
"1971-07-01 00:00:00","British Columbia, province of origin","Nova Scotia, province of destination",463,2240470,0.0207,797294,0.0581
"1971-07-01 00:00:00","British Columbia, province of origin","Ontario, province of destination",4171,2240470,0.1862,7849027,0.0531
"1971-07-01 00:00:00","British Columbia, province of origin","Prince Edward Island, province of destination",41,2240470,0.0018,112591,0.0364
"1971-07-01 00:00:00","British Columbia, province of origin","Quebec, province of destination",576,2240470,0.0257,6137305,0.0094
"1971-07-01 00:00:00","British Columbia, province of origin","Saskatchewan, province of destination",1262,2240470,0.0563,932038,0.1354
"1971-07-01 00:00:00","British Columbia, province of origin","Yukon, province of destination",260,2240470,0.0116,18991,1.3691
"1971-07-01 00:00:00","Manitoba, province of origin","Alberta, province of destination",2562,998876,0.2565,1665717,0.1538
"1971-07-01 00:00:00","Manitoba, province of origin","British Columbia, province of destination",2556,998876,0.2559,2240470,0.1141
"1971-07-01 00:00:00","Manitoba, province of origin","New Brunswick, province of destination",231,998876,0.0231,642471,0.0360
"1971-07-01 00:00:00","Manitoba, province of origin","Newfoundland and Labrador, province of destination",107,998876,0.0107,530854,0.0202
"1971-07-01 00:00:00","Manitoba, province of origin","Northwest Territories including Nunavut, province of destination",78,998876,0.0078,36398,0.2143
"1971-07-01 00:00:00","Manitoba, province of origin","Nova Scotia, province of destination",178,998876,0.0178,797294,0.0223
"1971-07-01 00:00:00","Manitoba, province of origin","Ontario, province of destination",3923,998876,0.3927,7849027,0.0500
"1971-07-01 00:00:00","Manitoba, province of origin","Prince Edward Island, province of destination",105,998876,0.0105,112591,0.0933
"1971-07-01 00:00:00","Manitoba, province of origin","Quebec, province of destination",526,998876,0.0527,6137305,0.0086
"1971-07-01 00:00:00","Manitoba, province of origin","Saskatchewan, province of destination",1692,998876,0.1694,932038,0.1815
"1971-07-01 00:00:00","Manitoba, province of origin","Yukon, province of destination",50,998876,0.0050,18991,0.2633
"1971-07-01 00:00:00","New Brunswick, province of origin","Alberta, province of destination",328,642471,0.0511,1665717,0.0197
"1971-07-01 00:00:00","New Brunswick, province of origin","British Columbia, province of destination",384,642471,0.0598,2240470,0.0171
"1971-07-01 00:00:00","New Brunswick, province of origin","Manitoba, province of destination",124,642471,0.0193,998876,0.0124
"1971-07-01 00:00:00","New Brunswick, province of origin","Newfoundland and Labrador, province of destination",432,642471,0.0672,530854,0.0814
"1971-07-01 00:00:00","New Brunswick, province of origin","Northwest Territories including Nunavut, province of destination",11,642471,0.0017,36398,0.0302
"1971-07-01 00:00:00","New Brunswick, province of origin","Nova Scotia, province of destination",1199,642471,0.1866,797294,0.1504
"1971-07-01 00:00:00","New Brunswick, province of origin","Ontario, province of destination",2785,642471,0.4335,7849027,0.0355
"1971-07-01 00:00:00","New Brunswick, province of origin","Prince Edward Island, province of destination",260,642471,0.0405,112591,0.2309
"1971-07-01 00:00:00","New Brunswick, province of origin","Quebec, province of destination",942,642471,0.1466,6137305,0.0153
"1971-07-01 00:00:00","New Brunswick, province of origin","Saskatchewan, province of destination",66,642471,0.0103,932038,0.0071
