ref_date,region,migration_status,num_people,net_internal_migration
"1961-07-01 00:00:00",Alberta,Out-migrants,11779,1345
"1961-07-01 00:00:00",Alberta,In-migrants,13124,1345
"1961-07-01 00:00:00","British Columbia",In-migrants,12341,117
"1961-07-01 00:00:00","British Columbia",Out-migrants,12224,117
"1961-07-01 00:00:00",Canada,In-migrants,95570,0
"1961-07-01 00:00:00",Canada,Out-migrants,95570,0
"1961-07-01 00:00:00",Manitoba,In-migrants,8640,-10
"1961-07-01 00:00:00",Manitoba,Out-migrants,8650,-10
"1961-07-01 00:00:00","New Brunswick",In-migrants,4828,-1580
"1961-07-01 00:00:00","New Brunswick",Out-migrants,6408,-1580
"1961-07-01 00:00:00","Newfoundland and Labrador",Out-migrants,2160,29
"1961-07-01 00:00:00","Newfoundland and Labrador",In-migrants,2189,29
"1961-07-01 00:00:00","Nova Scotia",In-migrants,7281,-511
"1961-07-01 00:00:00","Nova Scotia",Out-migrants,7792,-511
"1961-07-01 00:00:00",Ontario,In-migrants,23682,-1137
"1961-07-01 00:00:00",Ontario,Out-migrants,24819,-1137
"1961-07-01 00:00:00","Prince Edward Island",Out-migrants,862,696
"1961-07-01 00:00:00","Prince Edward Island",In-migrants,1558,696
"1961-07-01 00:00:00",Quebec,In-migrants,13955,2261
"1961-07-01 00:00:00",Quebec,Out-migrants,11694,2261
"1961-07-01 00:00:00",Saskatchewan,In-migrants,6564,-1393
"1961-07-01 00:00:00",Saskatchewan,Out-migrants,7957,-1393
"1961-10-01 00:00:00",Alberta,In-migrants,13919,4112
"1961-10-01 00:00:00",Alberta,Out-migrants,9807,4112
"1961-10-01 00:00:00","British Columbia",Out-migrants,9435,1369
"1961-10-01 00:00:00","British Columbia",In-migrants,10804,1369
"1961-10-01 00:00:00",Canada,Out-migrants,86590,0
"1961-10-01 00:00:00",Canada,In-migrants,86590,0
"1961-10-01 00:00:00",Manitoba,In-migrants,7651,-30
"1961-10-01 00:00:00",Manitoba,Out-migrants,7681,-30
"1961-10-01 00:00:00","New Brunswick",In-migrants,4735,-1214
"1961-10-01 00:00:00","New Brunswick",Out-migrants,5949,-1214
"1961-10-01 00:00:00","Newfoundland and Labrador",In-migrants,1559,-240
"1961-10-01 00:00:00","Newfoundland and Labrador",Out-migrants,1799,-240
"1961-10-01 00:00:00","Nova Scotia",In-migrants,6012,-754
"1961-10-01 00:00:00","Nova Scotia",Out-migrants,6766,-754
"1961-10-01 00:00:00",Ontario,In-migrants,23012,2564
"1961-10-01 00:00:00",Ontario,Out-migrants,20448,2564
"1961-10-01 00:00:00","Prince Edward Island",In-migrants,1117,128
"1961-10-01 00:00:00","Prince Edward Island",Out-migrants,989,128
"1961-10-01 00:00:00",Quebec,Out-migrants,13074,-1101
"1961-10-01 00:00:00",Quebec,In-migrants,11973,-1101
"1961-10-01 00:00:00",Saskatchewan,In-migrants,4852,-4821
"1961-10-01 00:00:00",Saskatchewan,Out-migrants,9673,-4821
"1962-01-01 00:00:00",Alberta,In-migrants,8785,106
"1962-01-01 00:00:00",Alberta,Out-migrants,8679,106
"1962-01-01 00:00:00","British Columbia",In-migrants,8055,603
"1962-01-01 00:00:00","British Columbia",Out-migrants,7452,603
"1962-01-01 00:00:00",Canada,In-migrants,60693,0
"1962-01-01 00:00:00",Canada,Out-migrants,60693,0
"1962-01-01 00:00:00",Manitoba,In-migrants,5007,-303
"1962-01-01 00:00:00",Manitoba,Out-migrants,5310,-303
"1962-01-01 00:00:00","New Brunswick",In-migrants,3476,-237
"1962-01-01 00:00:00","New Brunswick",Out-migrants,3713,-237
"1962-01-01 00:00:00","Newfoundland and Labrador",In-migrants,1015,-214
"1962-01-01 00:00:00","Newfoundland and Labrador",Out-migrants,1229,-214
"1962-01-01 00:00:00","Nova Scotia",In-migrants,3909,-260
"1962-01-01 00:00:00","Nova Scotia",Out-migrants,4169,-260
"1962-01-01 00:00:00",Ontario,In-migrants,15489,1366
"1962-01-01 00:00:00",Ontario,Out-migrants,14123,1366
"1962-01-01 00:00:00","Prince Edward Island",In-migrants,690,-68
"1962-01-01 00:00:00","Prince Edward Island",Out-migrants,758,-68
"1962-01-01 00:00:00",Quebec,In-migrants,9586,1270
"1962-01-01 00:00:00",Quebec,Out-migrants,8316,1270
"1962-01-01 00:00:00",Saskatchewan,In-migrants,3908,-2230
"1962-01-01 00:00:00",Saskatchewan,Out-migrants,6138,-2230
"1962-04-01 00:00:00",Alberta,Out-migrants,7815,1453
"1962-04-01 00:00:00",Alberta,In-migrants,9268,1453
"1962-04-01 00:00:00","British Columbia",Out-migrants,7792,256
"1962-04-01 00:00:00","British Columbia",In-migrants,8048,256
"1962-04-01 00:00:00",Canada,In-migrants,59098,0
"1962-04-01 00:00:00",Canada,Out-migrants,59098,0
"1962-04-01 00:00:00",Manitoba,In-migrants,4824,-256
"1962-04-01 00:00:00",Manitoba,Out-migrants,5080,-256
