ref_date,region,population,percent_of_total_pop
"1946-01-01 00:00:00",Canada,12188000,100.00
"1946-04-01 00:00:00",Canada,12241000,100.00
"1946-07-01 00:00:00",Canada,12316000,100.00
"1946-10-01 00:00:00",Canada,12393000,100.00
"1947-01-01 00:00:00",Canada,12450000,100.00
"1947-04-01 00:00:00",Canada,12507000,100.00
"1947-07-01 00:00:00",Canada,12576000,100.00
"1947-10-01 00:00:00",Canada,12646000,100.00
"1948-01-01 00:00:00",Canada,12710000,100.00
"1948-04-01 00:00:00",Canada,12773000,100.00
"1948-07-01 00:00:00",Canada,12852000,100.00
"1948-10-01 00:00:00",Canada,12930000,100.00
"1949-01-01 00:00:00",Canada,12998000,100.00
"1949-04-01 00:00:00",Canada,13399000,100.00
"1949-07-01 00:00:00",Canada,13475000,100.00
"1949-10-01 00:00:00",Canada,13548000,100.00
"1950-01-01 00:00:00",Canada,13607000,100.00
"1950-04-01 00:00:00",Canada,13663000,100.00
"1950-07-01 00:00:00",Canada,13737000,100.00
"1950-10-01 00:00:00",Canada,13807000,100.00
"1951-01-01 00:00:00",Canada,13870000,100.00
"1951-04-01 00:00:00",Canada,13937000,100.00
"1951-07-01 00:00:00",Canada,14050000,100.00
"1951-07-01 00:00:00","Newfoundland and Labrador",362000,2.58
"1951-07-01 00:00:00","Prince Edward Island",99000,0.70
"1951-07-01 00:00:00","Nova Scotia",643000,4.58
"1951-07-01 00:00:00","New Brunswick",517000,3.68
"1951-07-01 00:00:00",Quebec,4066000,28.94
"1951-07-01 00:00:00",Ontario,4615000,32.85
"1951-07-01 00:00:00",Manitoba,778000,5.54
"1951-07-01 00:00:00",Saskatchewan,834000,5.94
"1951-07-01 00:00:00",Alberta,943000,6.71
"1951-07-01 00:00:00","British Columbia",1168000,8.31
"1951-07-01 00:00:00",Yukon,9000,0.06
"1951-07-01 00:00:00","Northwest Territories including Nunavut",16000,0.11
"1951-10-01 00:00:00",Canada,14163000,100.00
"1951-10-01 00:00:00","Newfoundland and Labrador",365000,2.58
"1951-10-01 00:00:00","Prince Edward Island",99000,0.70
"1951-10-01 00:00:00","Nova Scotia",646000,4.56
"1951-10-01 00:00:00","New Brunswick",519000,3.66
"1951-10-01 00:00:00",Quebec,4095000,28.91
"1951-10-01 00:00:00",Ontario,4665000,32.94
"1951-10-01 00:00:00",Manitoba,784000,5.54
"1951-10-01 00:00:00",Saskatchewan,836000,5.90
"1951-10-01 00:00:00",Alberta,950000,6.71
"1951-10-01 00:00:00","British Columbia",1179000,8.32
"1951-10-01 00:00:00",Yukon,9000,0.06
"1951-10-01 00:00:00","Northwest Territories including Nunavut",16000,0.11
"1952-01-01 00:00:00",Canada,14277000,100.00
"1952-01-01 00:00:00","Newfoundland and Labrador",368000,2.58
"1952-01-01 00:00:00","Prince Edward Island",100000,0.70
"1952-01-01 00:00:00","Nova Scotia",647000,4.53
"1952-01-01 00:00:00","New Brunswick",521000,3.65
"1952-01-01 00:00:00",Quebec,4126000,28.90
"1952-01-01 00:00:00",Ontario,4717000,33.04
"1952-01-01 00:00:00",Manitoba,789000,5.53
"1952-01-01 00:00:00",Saskatchewan,836000,5.86
"1952-01-01 00:00:00",Alberta,959000,6.72
"1952-01-01 00:00:00","British Columbia",1189000,8.33
"1952-01-01 00:00:00",Yukon,9000,0.06
"1952-01-01 00:00:00","Northwest Territories including Nunavut",16000,0.11
"1952-04-01 00:00:00",Canada,14376000,100.00
"1952-04-01 00:00:00","Newfoundland and Labrador",371000,2.58
"1952-04-01 00:00:00","Prince Edward Island",100000,0.70
"1952-04-01 00:00:00","Nova Scotia",651000,4.53
"1952-04-01 00:00:00","New Brunswick",524000,3.64
"1952-04-01 00:00:00",Quebec,4153000,28.89
"1952-04-01 00:00:00",Ontario,4757000,33.09
"1952-04-01 00:00:00",Manitoba,794000,5.52
"1952-04-01 00:00:00",Saskatchewan,838000,5.83
"1952-04-01 00:00:00",Alberta,965000,6.71
"1952-04-01 00:00:00","British Columbia",1198000,8.33
"1952-04-01 00:00:00",Yukon,9000,0.06
"1952-04-01 00:00:00","Northwest Territories including Nunavut",16000,0.11
"1952-07-01 00:00:00",Canada,14496000,100.00
"1952-07-01 00:00:00","Newfoundland and Labrador",375000,2.59
"1952-07-01 00:00:00","Prince Edward Island",100000,0.69
"1952-07-01 00:00:00","Nova Scotia",654000,4.51
"1952-07-01 00:00:00","New Brunswick",527000,3.64
"1952-07-01 00:00:00",Quebec,4183000,28.86
"1952-07-01 00:00:00",Ontario,4802000,33.13
"1952-07-01 00:00:00",Manitoba,799000,5.51
"1952-07-01 00:00:00",Saskatchewan,845000,5.83
"1952-07-01 00:00:00",Alberta,977000,6.74
"1952-07-01 00:00:00","British Columbia",1209000,8.34
"1952-07-01 00:00:00",Yukon,9000,0.06
"1952-07-01 00:00:00","Northwest Territories including Nunavut",16000,0.11
"1952-10-01 00:00:00",Canada,14598000,100.00
"1952-10-01 00:00:00","Newfoundland and Labrador",377000,2.58
"1952-10-01 00:00:00","Prince Edward Island",101000,0.69
"1952-10-01 00:00:00","Nova Scotia",657000,4.50
"1952-10-01 00:00:00","New Brunswick",529000,3.62
"1952-10-01 00:00:00",Quebec,4209000,28.83
"1952-10-01 00:00:00",Ontario,4841000,33.16
"1952-10-01 00:00:00",Manitoba,802000,5.49
"1952-10-01 00:00:00",Saskatchewan,850000,5.82
"1952-10-01 00:00:00",Alberta,985000,6.75
"1952-10-01 00:00:00","British Columbia",1222000,8.37
"1952-10-01 00:00:00",Yukon,9000,0.06
"1952-10-01 00:00:00","Northwest Territories including Nunavut",16000,0.11
"1953-01-01 00:00:00",Canada,14682000,100.00
"1953-01-01 00:00:00","Newfoundland and Labrador",379000,2.58
"1953-01-01 00:00:00","Prince Edward Island",101000,0.69
"1953-01-01 00:00:00","Nova Scotia",660000,4.50
"1953-01-01 00:00:00","New Brunswick",530000,3.61
"1953-01-01 00:00:00",Quebec,4228000,28.80
"1953-01-01 00:00:00",Ontario,4876000,33.21
"1953-01-01 00:00:00",Manitoba,804000,5.48
"1953-01-01 00:00:00",Saskatchewan,852000,5.80
"1953-01-01 00:00:00",Alberta,994000,6.77
"1953-01-01 00:00:00","British Columbia",1233000,8.40
"1953-01-01 00:00:00",Yukon,9000,0.06
"1953-01-01 00:00:00","Northwest Territories including Nunavut",16000,0.11
"1953-04-01 00:00:00",Canada,14763000,100.00
"1953-04-01 00:00:00","Newfoundland and Labrador",382000,2.59
"1953-04-01 00:00:00","Prince Edward Island",101000,0.68
"1953-04-01 00:00:00","Nova Scotia",662000,4.48
"1953-04-01 00:00:00","New Brunswick",532000,3.60
"1953-04-01 00:00:00",Quebec,4249000,28.78
"1953-04-01 00:00:00",Ontario,4907000,33.24
"1953-04-01 00:00:00",Manitoba,806000,5.46
"1953-04-01 00:00:00",Saskatchewan,855000,5.79
"1953-04-01 00:00:00",Alberta,1002000,6.79
"1953-04-01 00:00:00","British Columbia",1242000,8.41
"1953-04-01 00:00:00",Yukon,9000,0.06
"1953-04-01 00:00:00","Northwest Territories including Nunavut",16000,0.11
"1953-07-01 00:00:00",Canada,14886000,100.00
"1953-07-01 00:00:00","Newfoundland and Labrador",384000,2.58
"1953-07-01 00:00:00","Prince Edward Island",101000,0.68
"1953-07-01 00:00:00","Nova Scotia",664000,4.46
"1953-07-01 00:00:00","New Brunswick",533000,3.58
"1953-07-01 00:00:00",Quebec,4281000,28.76
"1953-07-01 00:00:00",Ontario,4956000,33.29
"1953-07-01 00:00:00",Manitoba,810000,5.44
"1953-07-01 00:00:00",Saskatchewan,863000,5.80
"1953-07-01 00:00:00",Alberta,1016000,6.83
"1953-07-01 00:00:00","British Columbia",1253000,8.42
"1953-07-01 00:00:00",Yukon,9000,0.06
"1953-07-01 00:00:00","Northwest Territories including Nunavut",16000,0.11
"1953-10-01 00:00:00",Canada,15001000,100.00
"1953-10-01 00:00:00","Newfoundland and Labrador",387000,2.58
"1953-10-01 00:00:00","Prince Edward Island",101000,0.67
"1953-10-01 00:00:00","Nova Scotia",667000,4.45
"1953-10-01 00:00:00","New Brunswick",535000,3.57
"1953-10-01 00:00:00",Quebec,4310000,28.73
"1953-10-01 00:00:00",Ontario,5002000,33.34
"1953-10-01 00:00:00",Manitoba,814000,5.43
"1953-10-01 00:00:00",Saskatchewan,866000,5.77
"1953-10-01 00:00:00",Alberta,1029000,6.86
"1953-10-01 00:00:00","British Columbia",1265000,8.43
"1953-10-01 00:00:00",Yukon,9000,0.06
"1953-10-01 00:00:00","Northwest Territories including Nunavut",16000,0.11
"1954-01-01 00:00:00",Canada,15105000,100.00
"1954-01-01 00:00:00","Newfoundland and Labrador",390000,2.58
"1954-01-01 00:00:00","Prince Edward Island",101000,0.67
"1954-01-01 00:00:00","Nova Scotia",668000,4.42
"1954-01-01 00:00:00","New Brunswick",537000,3.56
"1954-01-01 00:00:00",Quebec,4337000,28.71
"1954-01-01 00:00:00",Ontario,5047000,33.41
"1954-01-01 00:00:00",Manitoba,816000,5.40
"1954-01-01 00:00:00",Saskatchewan,867000,5.74
"1954-01-01 00:00:00",Alberta,1039000,6.88
"1954-01-01 00:00:00","British Columbia",1278000,8.46
"1954-01-01 00:00:00",Yukon,9000,0.06
"1954-01-01 00:00:00","Northwest Territories including Nunavut",16000,0.11
"1954-04-01 00:00:00",Canada,15199000,100.00
"1954-04-01 00:00:00","Newfoundland and Labrador",393000,2.59
"1954-04-01 00:00:00","Prince Edward Island",101000,0.66
"1954-04-01 00:00:00","Nova Scotia",670000,4.41
"1954-04-01 00:00:00","New Brunswick",538000,3.54
"1954-04-01 00:00:00",Quebec,4365000,28.72
"1954-04-01 00:00:00",Ontario,5082000,33.44
"1954-04-01 00:00:00",Manitoba,819000,5.39
"1954-04-01 00:00:00",Saskatchewan,869000,5.72
"1954-04-01 00:00:00",Alberta,1047000,6.89
"1954-04-01 00:00:00","British Columbia",1288000,8.47
"1954-04-01 00:00:00",Yukon,10000,0.07
"1954-04-01 00:00:00","Northwest Territories including Nunavut",17000,0.11
"1954-07-01 00:00:00",Canada,15330000,100.00
"1954-07-01 00:00:00","Newfoundland and Labrador",396000,2.58
"1954-07-01 00:00:00","Prince Edward Island",101000,0.66
"1954-07-01 00:00:00","Nova Scotia",674000,4.40
"1954-07-01 00:00:00","New Brunswick",541000,3.53
"1954-07-01 00:00:00",Quebec,4402000,28.71
"1954-07-01 00:00:00",Ontario,5130000,33.46
"1954-07-01 00:00:00",Manitoba,825000,5.38
"1954-07-01 00:00:00",Saskatchewan,874000,5.70
"1954-07-01 00:00:00",Alberta,1061000,6.92
"1954-07-01 00:00:00","British Columbia",1299000,8.47
"1954-07-01 00:00:00",Yukon,10000,0.07
"1954-07-01 00:00:00","Northwest Territories including Nunavut",17000,0.11
"1954-10-01 00:00:00",Canada,15444000,100.00
"1954-10-01 00:00:00","Newfoundland and Labrador",399000,2.58
"1954-10-01 00:00:00","Prince Edward Island",101000,0.65
"1954-10-01 00:00:00","Nova Scotia",676000,4.38
"1954-10-01 00:00:00","New Brunswick",543000,3.52
"1954-10-01 00:00:00",Quebec,4436000,28.72
"1954-10-01 00:00:00",Ontario,5174000,33.50
"1954-10-01 00:00:00",Manitoba,830000,5.37
"1954-10-01 00:00:00",Saskatchewan,877000,5.68
"1954-10-01 00:00:00",Alberta,1070000,6.93
"1954-10-01 00:00:00","British Columbia",1311000,8.49
"1954-10-01 00:00:00",Yukon,10000,0.06
"1954-10-01 00:00:00","Northwest Territories including Nunavut",17000,0.11
"1955-01-01 00:00:00",Canada,15535000,100.00
"1955-01-01 00:00:00","Newfoundland and Labrador",401000,2.58
"1955-01-01 00:00:00","Prince Edward Island",100000,0.64
"1955-01-01 00:00:00","Nova Scotia",678000,4.36
"1955-01-01 00:00:00","New Brunswick",544000,3.50
"1955-01-01 00:00:00",Quebec,4465000,28.74
"1955-01-01 00:00:00",Ontario,5208000,33.52
"1955-01-01 00:00:00",Manitoba,833000,5.36
"1955-01-01 00:00:00",Saskatchewan,877000,5.65
"1955-01-01 00:00:00",Alberta,1078000,6.94
"1955-01-01 00:00:00","British Columbia",1323000,8.52
"1955-01-01 00:00:00",Yukon,11000,0.07
"1955-01-01 00:00:00","Northwest Territories including Nunavut",17000,0.11
"1955-04-01 00:00:00",Canada,15620000,100.00
"1955-04-01 00:00:00","Newfoundland and Labrador",404000,2.59
"1955-04-01 00:00:00","Prince Edward Island",100000,0.64
"1955-04-01 00:00:00","Nova Scotia",681000,4.36
"1955-04-01 00:00:00","New Brunswick",546000,3.50
"1955-04-01 00:00:00",Quebec,4492000,28.76
"1955-04-01 00:00:00",Ontario,5236000,33.52
"1955-04-01 00:00:00",Manitoba,837000,5.36
"1955-04-01 00:00:00",Saskatchewan,877000,5.61
"1955-04-01 00:00:00",Alberta,1084000,6.94
"1955-04-01 00:00:00","British Columbia",1334000,8.54
"1955-04-01 00:00:00",Yukon,11000,0.07
"1955-04-01 00:00:00","Northwest Territories including Nunavut",18000,0.12
"1955-07-01 00:00:00",Canada,15736000,100.00
"1955-07-01 00:00:00","Newfoundland and Labrador",407000,2.59
"1955-07-01 00:00:00","Prince Edward Island",100000,0.64
"1955-07-01 00:00:00","Nova Scotia",684000,4.35
"1955-07-01 00:00:00","New Brunswick",548000,3.48
"1955-07-01 00:00:00",Quebec,4529000,28.78
"1955-07-01 00:00:00",Ontario,5278000,33.54
"1955-07-01 00:00:00",Manitoba,841000,5.34
"1955-07-01 00:00:00",Saskatchewan,879000,5.59
"1955-07-01 00:00:00",Alberta,1094000,6.95
"1955-07-01 00:00:00","British Columbia",1347000,8.56
"1955-07-01 00:00:00",Yukon,11000,0.07
"1955-07-01 00:00:00","Northwest Territories including Nunavut",18000,0.11
"1955-10-01 00:00:00",Canada,15834000,100.00
"1955-10-01 00:00:00","Newfoundland and Labrador",410000,2.59
"1955-10-01 00:00:00","Prince Edward Island",100000,0.63
"1955-10-01 00:00:00","Nova Scotia",688000,4.35
