CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL,C3_COUNT_WOMEN+,SYMBOL,C10_RATE_TOTAL,SYMBOL,C11_RATE_MEN+,SYMBOL,C12_RATE_WOMEN+,SYMBOL
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,9,0 to 14 years,,31570,,16200,,15370,,14.9,,15.7,,14.1,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,10,0 to 4 years,,9135,,4715,,4420,,4.3,,4.6,,4.1,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,11,5 to 9 years,,10775,,5510,,5265,,5.1,,5.3,,4.8,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,12,10 to 14 years,,11655,,5975,,5680,,5.5,,5.8,,5.2,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,13,15 to 64 years,,142400,,69995,,72405,,67,,67.6,,66.4,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,14,15 to 19 years,,11235,,5780,,5455,,5.3,,5.6,,5,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,15,20 to 24 years,,13645,,7080,,6565,,6.4,,6.8,,6,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,16,25 to 29 years,,13605,,6765,,6840,,6.4,,6.5,,6.3,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,17,30 to 34 years,,14630,,7250,,7380,,6.9,,7,,6.8,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,18,35 to 39 years,,15020,,7400,,7625,,7.1,,7.2,,7,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,19,40 to 44 years,,14735,,7065,,7675,,6.9,,6.8,,7,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,20,45 to 49 years,,14490,,7100,,7390,,6.8,,6.9,,6.8,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,21,50 to 54 years,,14850,,7140,,7710,,7,,6.9,,7.1,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,22,55 to 59 years,,15570,,7400,,8170,,7.3,,7.2,,7.5,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,23,60 to 64 years,,14610,,7015,,7595,,6.9,,6.8,,7,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,24,65 years and over,,38615,,17280,,21330,,18.2,,16.7,,19.6,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,25,65 to 69 years,,12870,,6115,,6760,,6.1,,5.9,,6.2,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,26,70 to 74 years,,10645,,4875,,5770,,5,,4.7,,5.3,
