CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL,C3_COUNT_WOMEN+,SYMBOL,C10_RATE_TOTAL,SYMBOL,C11_RATE_MEN+,SYMBOL,C12_RATE_WOMEN+,SYMBOL
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1545,  Americas,,1203180,,546325,,656855,,14.4,,13.7,,15,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1546,    Brazil,,48450,,22405,,26050,,0.6,,0.6,,0.6,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1547,    Colombia,,80570,,36675,,43900,,1,,0.9,,1,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1548,    El Salvador,,49450,,24430,,25015,,0.6,,0.6,,0.6,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1549,    Guyana,,85530,,37870,,47660,,1,,1,,1.1,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1550,    Haiti,,99945,,44585,,55360,,1.2,,1.1,,1.3,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1551,    Jamaica,,145360,,63430,,81925,,1.7,,1.6,,1.9,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1552,    Mexico,,90585,,42215,,48370,,1.1,,1.1,,1.1,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1553,    Peru,,31420,,13925,,17490,,0.4,,0.4,,0.4,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1554,    Trinidad and Tobago,,65035,,29110,,35930,,0.8,,0.7,,0.8,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1555,    United States of America,,256090,,115380,,140705,,3.1,,2.9,,3.2,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1556,    Other places of birth in Americas,,250760,,116305,,134460,,3,,2.9,,3.1,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1557,  Europe,,1967620,,955840,,1011785,,23.5,,24,,23.1,
