REF_DATE,GEO,DGUID,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1946-01,Canada,2016A000011124,Births,Number,223,units,0,v62,1.1,73273,,,,0
1946-01,Canada,2016A000011124,Deaths,Number,223,units,0,v77,1.2,31629,,,,0
1946-01,Canada,2016A000011124,Marriages,Number,223,units,0,v92,1.3,19648,,,t,0
1946-01,Prince Edward Island,2016A000211,Births,Number,223,units,0,v69,3.1,598,,,,0
1946-01,Prince Edward Island,2016A000211,Deaths,Number,223,units,0,v84,3.2,272,,,,0
1946-01,Prince Edward Island,2016A000211,Marriages,Number,223,units,0,v99,3.3,127,,,t,0
1946-01,Nova Scotia,2016A000212,Births,Number,223,units,0,v70,4.1,3814,,,,0
1946-01,Nova Scotia,2016A000212,Deaths,Number,223,units,0,v85,4.2,1723,,,,0
1946-01,Nova Scotia,2016A000212,Marriages,Number,223,units,0,v100,4.3,1099,,,t,0
1946-01,New Brunswick,2016A000213,Births,Number,223,units,0,v71,5.1,3572,,,,0
1946-01,New Brunswick,2016A000213,Deaths,Number,223,units,0,v86,5.2,1350,,,,0
1946-01,New Brunswick,2016A000213,Marriages,Number,223,units,0,v101,5.3,903,,,t,0
1946-01,Quebec,2016A000224,Births,Number,223,units,0,v72,6.1,26462,,,,0
1946-01,Quebec,2016A000224,Deaths,Number,223,units,0,v87,6.2,9557,,,,0
1946-01,Quebec,2016A000224,Marriages,Number,223,units,0,v102,6.3,3685,,,t,0
1946-01,Ontario,2016A000235,Births,Number,223,units,0,v73,7.1,20257,,,,0
1946-01,Ontario,2016A000235,Deaths,Number,223,units,0,v88,7.2,10885,,,,0
1946-01,Ontario,2016A000235,Marriages,Number,223,units,0,v103,7.3,7435,,,t,0
1946-01,Manitoba,2016A000246,Births,Number,223,units,0,v74,8.1,4073,,,,0
1946-01,Manitoba,2016A000246,Deaths,Number,223,units,0,v89,8.2,1683,,,,0
1946-01,Manitoba,2016A000246,Marriages,Number,223,units,0,v104,8.3,1375,,,t,0
1946-01,Saskatchewan,2016A000247,Births,Number,223,units,0,v75,9.1,4618,,,,0
1946-01,Saskatchewan,2016A000247,Deaths,Number,223,units,0,v90,9.2,1630,,,,0
1946-01,Saskatchewan,2016A000247,Marriages,Number,223,units,0,v105,9.3,1197,,,t,0
1946-01,Alberta,2016A000248,Births,Number,223,units,0,v76,10.1,4791,,,,0
1946-01,Alberta,2016A000248,Deaths,Number,223,units,0,v91,10.2,1765,,,,0
1946-01,Alberta,2016A000248,Marriages,Number,223,units,0,v106,10.3,1614,,,t,0
1946-01,British Columbia,2016A000259,Births,Number,223,units,0,v64,11.1,4894,,,,0
1946-01,British Columbia,2016A000259,Deaths,Number,223,units,0,v79,11.2,2618,,,,0
1946-01,British Columbia,2016A000259,Marriages,Number,223,units,0,v94,11.3,2174,,,t,0
1946-01,Yukon,2016A000260,Births,Number,223,units,0,v65,12.1,34,,,,0
1946-01,Yukon,2016A000260,Deaths,Number,223,units,0,v80,12.2,23,,,,0
1946-01,Yukon,2016A000260,Marriages,Number,223,units,0,v95,12.3,17,,,t,0
1946-01,Northwest Territories including Nunavut,,Births,Number,223,units,0,v66,13.1,160,,,t,0
1946-01,Northwest Territories including Nunavut,,Deaths,Number,223,units,0,v81,13.2,123,,,t,0
1946-01,Northwest Territories including Nunavut,,Marriages,Number,223,units,0,v96,13.3,22,,,t,0
1946-04,Canada,2016A000011124,Births,Number,223,units,0,v62,1.1,86530,,,,0
1946-04,Canada,2016A000011124,Deaths,Number,223,units,0,v77,1.2,28938,,,,0
1946-04,Canada,2016A000011124,Marriages,Number,223,units,0,v92,1.3,39063,,,t,0
1946-04,Prince Edward Island,2016A000211,Births,Number,223,units,0,v69,3.1,778,,,,0
1946-04,Prince Edward Island,2016A000211,Deaths,Number,223,units,0,v84,3.2,183,,,,0
1946-04,Prince Edward Island,2016A000211,Marriages,Number,223,units,0,v99,3.3,218,,,t,0
1946-04,Nova Scotia,2016A000212,Births,Number,223,units,0,v70,4.1,4554,,,,0
1946-04,Nova Scotia,2016A000212,Deaths,Number,223,units,0,v85,4.2,1483,,,,0
1946-04,Nova Scotia,2016A000212,Marriages,Number,223,units,0,v100,4.3,1740,,,t,0
1946-04,New Brunswick,2016A000213,Births,Number,223,units,0,v71,5.1,4279,,,,0
