REF_DATE,GEO,DGUID,Components of population growth,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1946-01,Canada,2016A000011124,Immigrants,Persons,249,units,0,v29850342,1.1,12738,,,,0
1946-01,Prince Edward Island,2016A000211,Immigrants,Persons,249,units,0,v29850352,3.1,73,,,,0
1946-01,Nova Scotia,2016A000212,Immigrants,Persons,249,units,0,v29850357,4.1,701,,,,0
1946-01,New Brunswick,2016A000213,Immigrants,Persons,249,units,0,v29850362,5.1,520,,,,0
1946-01,Quebec,2016A000224,Immigrants,Persons,249,units,0,v29850367,6.1,2305,,,,0
1946-01,Ontario,2016A000235,Immigrants,Persons,249,units,0,v29850372,7.1,5319,,,,0
1946-01,Manitoba,2016A000246,Immigrants,Persons,249,units,0,v29850377,8.1,722,,,,0
1946-01,Saskatchewan,2016A000247,Immigrants,Persons,249,units,0,v29850382,9.1,765,,,,0
1946-01,Alberta,2016A000248,Immigrants,Persons,249,units,0,v29850387,10.1,1044,,,,0
1946-01,British Columbia,2016A000259,Immigrants,Persons,249,units,0,v29850392,11.1,1278,,,,0
1946-01,Yukon,2016A000260,Immigrants,Persons,249,units,0,v29850397,12.1,2,,,,0
1946-01,Northwest Territories including Nunavut,,Immigrants,Persons,249,units,0,v29850402,13.1,5,,,,0
1946-04,Canada,2016A000011124,Immigrants,Persons,249,units,0,v29850342,1.1,21176,,,,0
1946-04,Prince Edward Island,2016A000211,Immigrants,Persons,249,units,0,v29850352,3.1,194,,,,0
1946-04,Nova Scotia,2016A000212,Immigrants,Persons,249,units,0,v29850357,4.1,1293,,,,0
1946-04,New Brunswick,2016A000213,Immigrants,Persons,249,units,0,v29850362,5.1,1029,,,,0
1946-04,Quebec,2016A000224,Immigrants,Persons,249,units,0,v29850367,6.1,2567,,,,0
1946-04,Ontario,2016A000235,Immigrants,Persons,249,units,0,v29850372,7.1,9006,,,,0
1946-04,Manitoba,2016A000246,Immigrants,Persons,249,units,0,v29850377,8.1,1390,,,,0
1946-04,Saskatchewan,2016A000247,Immigrants,Persons,249,units,0,v29850382,9.1,1461,,,,0
1946-04,Alberta,2016A000248,Immigrants,Persons,249,units,0,v29850387,10.1,1718,,,,0
1946-04,British Columbia,2016A000259,Immigrants,Persons,249,units,0,v29850392,11.1,2511,,,,0
1946-04,Yukon,2016A000260,Immigrants,Persons,249,units,0,v29850397,12.1,2,,,,0
1946-04,Northwest Territories including Nunavut,,Immigrants,Persons,249,units,0,v29850402,13.1,5,,,,0
1946-07,Canada,2016A000011124,Immigrants,Persons,249,units,0,v29850342,1.1,25078,,,,0
1946-07,Prince Edward Island,2016A000211,Immigrants,Persons,249,units,0,v29850352,3.1,222,,,,0
1946-07,Nova Scotia,2016A000212,Immigrants,Persons,249,units,0,v29850357,4.1,1697,,,,0
1946-07,New Brunswick,2016A000213,Immigrants,Persons,249,units,0,v29850362,5.1,1260,,,,0
1946-07,Quebec,2016A000224,Immigrants,Persons,249,units,0,v29850367,6.1,3167,,,,0
1946-07,Ontario,2016A000235,Immigrants,Persons,249,units,0,v29850372,7.1,10151,,,,0
1946-07,Manitoba,2016A000246,Immigrants,Persons,249,units,0,v29850377,8.1,1738,,,,0
1946-07,Saskatchewan,2016A000247,Immigrants,Persons,249,units,0,v29850382,9.1,1813,,,,0
1946-07,Alberta,2016A000248,Immigrants,Persons,249,units,0,v29850387,10.1,2095,,,,0
1946-07,British Columbia,2016A000259,Immigrants,Persons,249,units,0,v29850392,11.1,2925,,,,0
1946-07,Yukon,2016A000260,Immigrants,Persons,249,units,0,v29850397,12.1,2,,,,0
1946-07,Northwest Territories including Nunavut,,Immigrants,Persons,249,units,0,v29850402,13.1,8,,,,0
1946-10,Canada,2016A000011124,Immigrants,Persons,249,units,0,v29850342,1.1,12727,,,,0
1946-10,Prince Edward Island,2016A000211,Immigrants,Persons,249,units,0,v29850352,3.1,97,,,,0
1946-10,Nova Scotia,2016A000212,Immigrants,Persons,249,units,0,v29850357,4.1,913,,,,0
1946-10,New Brunswick,2016A000213,Immigrants,Persons,249,units,0,v29850362,5.1,656,,,,0
1946-10,Quebec,2016A000224,Immigrants,Persons,249,units,0,v29850367,6.1,1673,,,,0
1946-10,Ontario,2016A000235,Immigrants,Persons,249,units,0,v29850372,7.1,5128,,,,0
1946-10,Manitoba,2016A000246,Immigrants,Persons,249,units,0,v29850377,8.1,765,,,,0
1946-10,Saskatchewan,2016A000247,Immigrants,Persons,249,units,0,v29850382,9.1,672,,,,0
1946-10,Alberta,2016A000248,Immigrants,Persons,249,units,0,v29850387,10.1,914,,,,0
1946-10,British Columbia,2016A000259,Immigrants,Persons,249,units,0,v29850392,11.1,1905,,,,0
1946-10,Yukon,2016A000260,Immigrants,Persons,249,units,0,v29850397,12.1,1,,,,0
1946-10,Northwest Territories including Nunavut,,Immigrants,Persons,249,units,0,v29850402,13.1,3,,,,0
1947-01,Canada,2016A000011124,Immigrants,Persons,249,units,0,v29850342,1.1,8009,,,,0
1947-01,Prince Edward Island,2016A000211,Immigrants,Persons,249,units,0,v29850352,3.1,44,,,,0
1947-01,Nova Scotia,2016A000212,Immigrants,Persons,249,units,0,v29850357,4.1,413,,,,0
1947-01,New Brunswick,2016A000213,Immigrants,Persons,249,units,0,v29850362,5.1,237,,,,0
1947-01,Quebec,2016A000224,Immigrants,Persons,249,units,0,v29850367,6.1,1153,,,,0
1947-01,Ontario,2016A000235,Immigrants,Persons,249,units,0,v29850372,7.1,3544,,,,0
1947-01,Manitoba,2016A000246,Immigrants,Persons,249,units,0,v29850377,8.1,384,,,,0
1947-01,Saskatchewan,2016A000247,Immigrants,Persons,249,units,0,v29850382,9.1,295,,,,0
1947-01,Alberta,2016A000248,Immigrants,Persons,249,units,0,v29850387,10.1,569,,,,0
1947-01,British Columbia,2016A000259,Immigrants,Persons,249,units,0,v29850392,11.1,1368,,,,0
1947-01,Yukon,2016A000260,Immigrants,Persons,249,units,0,v29850397,12.1,0,,,,0
1947-01,Northwest Territories including Nunavut,,Immigrants,Persons,249,units,0,v29850402,13.1,2,,,,0
1947-04,Canada,2016A000011124,Immigrants,Persons,249,units,0,v29850342,1.1,13404,,,,0
1947-04,Prince Edward Island,2016A000211,Immigrants,Persons,249,units,0,v29850352,3.1,60,,,,0
1947-04,Nova Scotia,2016A000212,Immigrants,Persons,249,units,0,v29850357,4.1,570,,,,0
1947-04,New Brunswick,2016A000213,Immigrants,Persons,249,units,0,v29850362,5.1,321,,,,0
1947-04,Quebec,2016A000224,Immigrants,Persons,249,units,0,v29850367,6.1,1850,,,,0
1947-04,Ontario,2016A000235,Immigrants,Persons,249,units,0,v29850372,7.1,6524,,,,0
1947-04,Manitoba,2016A000246,Immigrants,Persons,249,units,0,v29850377,8.1,571,,,,0
